Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
BioNTech,—,1001-5000,BioNTech is a next generation immunotherapy company pioneering novel therapies for cancer and other serious diseases. BioNTech exploits a array of computational discovery and therapeutic drug platforms for the rapid development of novel biopharmaceuticals.,"Mainz, Rheinland-Pfalz, Germany",2008,"Biopharma, Biotechnology, Pharmaceutical",BioNTech is a biopharmaceutical company pioneering the development of individualized therapies for cancer and other diseases.,"Apr 14, 2022",Post-IPO Equity,"$149,999,985","Sanofi, European Investment Bank,,,",$100M to $500M,—,European Union (EU)
REZI,—,11-50,"REZI is a rental company that provides leasing and financial technology for tenants, property owners, and landlords. The company uses its proprietary analytics, technology, and financial products to improve the rental experience for landlords and tenants alike. It operates with the goal of automating the rental process, decreasing discriminatory practices in renting, and improving outcomes for property owners. REZI was founded in 2016 and is headquartered in New York.","New York, New York, United States",2016,"Financial Services, Property Management,,,","REZI is a rental company that provides leasing and financial technology for tenants, property owners, and landlords.","Nov 15, 2022",Debt Financing,"$100,000,000","Y Combinator, Bessemer Venture Partners,,,",$1M to $10M,"Black / African American Founded,","Greater New York Area, East Coast,"
Isar Aerospace,—,251-500,Isar Aerospace is a space technology company that builds rockets through automated production. It offers launch services dedicated to deploying and resupplying satellite constellations and ensuring low-cost space access for small satellites. The company was founded in 2018 in Europe.,"Bavaria, Cundinamarca, Colombia",2018,"Aerospace, Information Technology,","Isar Aerospace provides access to space for small and medium satellites, enabling global satellite constellations.","Mar 28, 2023",Series C,"€155,000,000","Earlybird Venture Capital, Lakestar,,,",—,—,Latin America
BookMyShow,—,501-1000,"BookMyShow is an Indian online ticketing service for cinemas, theaters, and sports. Within a decade of its inception, BookMyShow poses a 40% CAGR in revenues and over 90% market share in the online entertainment ticketing space. With offices in India, New Zealand, and Malaysia, BookMyShow aims to present their clients with endless options to purchase tickets for the latest movies, music concerts, plays, stand up comic acts, and major sporting events to name a few. Tickets can be booked through various platforms like internet, mobile application, WAP and the in - house call center. With ticketing for over 3000 screens across 250 cities, BookMyShow has partnerships with all major Indian production houses and studios with real time ticketing for major cinema chains like Inox, Big Cinemas, Cinemax, Fun Cinemas etc. 85% of all cinema tickets sold online are booked on bookyshow, resulting in sales peaking up to 7 million tickets per month. BookMyShow has ticketed for over 1,500 plays online and is the exclusive and permanent ticketing partners for theatre venues like Prithvi Theater, Mumbai, NCPA Mumbai, Indian Habitat Centre Delhi and Rangshankara Bangalore. With more than 20 million page views per month, BookMyShow has ticketed for more than 300 live large format events and sport events such as ICL, city Marathons, etc. BookMyShow.com was the official ticketing partner for Mumbai Indians, Kings XI Punjab, and official online ticketing partner for Delhi Daredevils in season 2010. BookMyShow introduced a number of innovative features to make cricket viewing a pleasurable and more comfortable experience for their customers this season with on ground tie ups with various retail chains like Reliance Fresh, Reebok and Café Coffee Day for sale of tickets. BookMyShow was also the official ticketing agency for the prestigious Yonex - Sunrise Badminton Asia Tournament, hosted in the capital for the first time in April 2010 and ticketing partner for the India v/s Australia 2nd test match in Bangalore.","Mumbai, Maharashtra, India",1999,"Digital Entertainment, E-Commerce,,,,,,,","BookMyShow is an Indian online ticketing service for cinemas, theaters, and sports.","Jan 1, 2019",Venture - Series Unknown,—,"Accel, Elevation Capital, Stripes,,",$10M to $50M,—,Asia-Pacific (APAC)
Anthropic,—,51-100,"Anthropic is an AI-driven research company that focuses on increasing the safety of large-scale AI systems. Its research interests span multiple areas including natural language, human feedback, scaling laws, reinforcement learning, code generation, and interpretability.","San Francisco, California, United States",2021,"Artificial Intelligence, Information Technology,",Anthropic is an AI-driven research company that focuses on increasing the safety of large-scale AI systems.,"Mar 9, 2023",Venture - Series Unknown,"$300,000,000","Google, Spark Capital, Sam Bankman-Fried,,",—,—,"San Francisco Bay Area, West Coast,"
Chewy,—,10001+,"At Chewy, we view pets (and pet parents) as family and are obsessed with meeting their needs and exceeding customer expectations through every interaction. Customers love shopping our wide selection of products including more than 65,000 items (including our Private brands and Healthcare products), which we offer at competitive prices and fast 1-2 day shipping. Chewy’s commitment to customer service is the core of our brand, and our customers love us for it. We “WOW” pet parents through 24/7 assistance, advice and encouragement every day of the year. We make pet parenting easy with our convenient Autoship subscription program—which allows our customers to schedule their orders, so they never run out of their pet food, supplies and medication they need. Chewy is an experience company built on the back of product and technology. Innovation drives our operations and our team is constantly striving to find new and better ways to improve. From an easy-to-navigate website and highly-rated mobile apps, to detailed order tracking and personalized “Pet Profile” features, we are transforming the way pet parents shop.","Dania, Florida, United States","Jun 1, 2011","E-Commerce, Pet, Retail",Chewy.com delivers pet happiness by conveniently shipping over 500 brands of pet food and goodies for free.,"Apr 4, 2017",Series F,"$125,000,000","BlackRock, Volition Capital, Allen & Company,,",$1B to $10B,—,"Greater Miami Area, East Coast,"
Deepwatch,—,251-500,"Deepwatch is securing the digital economy by tenaciously protecting enterprise networks - everywhere, everyday. Deepwatch's team, many of the most technically astute minds in cybersecurity, serves an impressive list of Global 2000 companies. Deepwatch’s cloud security platform backed by exceptional engineers, developers, and security experts is changing the modern SOC. Deepwatch is a CISO Choice Awards: MSSP Winner 2021, Great Place to Work® Certified 2021 and 2022, Forbes Top 50 Tech Company, Backed by premier investors with >$200 Million in growth capital from Goldman Sachs, Vista Equity Partners, and ABS Capital, Splunk Partner: #1 Volume MDR/MSSP and a Forrester: Top 10 MDR. Deepwatch's innovative cloud platform and borderless SOC extend its customers’ cybersecurity teams and proactively protect their brand, reputation, and digital assets. Its analytics platform analyzes billions of events each month and is trusted by hundreds of leading global organizations to provide 24/7/365 managed security services. Deepwatch has developed the most innovative IP in the industry and is expanding its platform by continuously investing in R&D.","Tampa, Florida, United States","Apr 2, 2019","Cloud Security, Cyber Security,",Deepwatch secures the digital economy by protecting enterprise networks via its cloud security platform.,"Feb 15, 2023",Series C,"$180,000,000","Goldman Sachs, Vista Credit Partners,,,",—,—,"Tampa Bay Area, East Coast, Southern US"
Blue Origin,—,1001-5000,"Blue Origin is an aerospace company that focuses on lowering the cost of spaceflight and helping to explore the solar system. Blue Origin’s engines are designed, developed and manufactured in the United States. They provide great control with a precisely timed start, high-power thrust for launch, deep throttling for landing, and stop and restart capabilities. Since our first, simple, single-propellant engine – the BE-1 – we’ve built and tested multiple generations for suborbital and orbital spaceflight.","Kent, Washington, United States","Sep 8, 2000","Aerospace, Manufacturing, National Security,",Blue Origin is an aerospace company that focuses on lowering the cost of spaceflight and helping to explore the solar system.,"Dec 3, 2021",Grant,"$130,000,000","NASA, United States Space Force",—,—,"Greater Seattle Area, West Coast,"
Colossal Biosciences,—,101-250,"Colossal creates disruptive technologies for extinct species restoration, critically endangered species protection, and the repopulation of critical ecosystems that support the continuation of life on Earth. The company is the first to apply CRISPR technology for the purposes of species de-extinction, beginning with the woolly mammoth. Colossal is accepting humanity’s duty to restore Earth to a healthier state, while also solving for the future economies and biological necessities of the human condition through cutting-edge science and technologies.","Dallas, Texas, United States","Feb 4, 2021","Biotechnology, Genetics, Life Science",Colossal is a bioscience and genetic engineering company focused on de-extinction of past species.,"Jan 31, 2023",Series B,"$150,000,000","Animoca Brands, Draper Associates,,,",—,—,"Dallas/Fort Worth Metroplex, Southern US"
ZingHR,—,251-500,"ZingHR has been the driving force that is helping organizations go beyond Automation, and deliver a solution that could directly impact Business Outcomes and Enhance Employee Experience. ZingHR aims for an Employee-Centric and mobile first approach. An Enterprise HCM platform for the betterment of workforces irrespective of geographical boundaries covering the entire spectrum from Onboarding to Exit and beyond. ZingHR currently focuses on giving its users an experience like never before with AI enabled Technology and User-Friendly Systems supported with over 20+ languages. ZingHR delivers Human Capital Management, Workforce Management, Talent Acquisition, Payroll, Learning Management, Performance Management, Training, Time & Attendance, and Analytics applications, designed and delivered for the world’s largest organizations.","Mumbai, Maharashtra, India",2000,"Human Resources, Information Technology,",An Enterprise HCM platform for the betterment of workforces covering the entire spectrum from Onboarding to Exit and beyond.,"Jan 17, 2022",Venture - Series Unknown,"$10,000,000","Zeta, Mumbai Angels, Tata Capital,,",—,—,Asia-Pacific (APAC)
APEXX,—,11-50,"Apexx provides a Payments-as-a-Service platform, integrating acquirers, gateways, shopping carts, and alternative payment methods into a single integration. APEXX consults its enterprise level customers to consolidate their payment service provider relationships, and display all their reporting and transactional data in a single interface.","London, England, United Kingdom",2016,"Finance, FinTech, Payments","APEXX consolidates global payment providers into a single integration point, optimising the cost of complex payment ecosystems.","Mar 13, 2023",Series B,"$25,000,000","MMC Ventures, Forward Partners,",—,—,—
Science,—,101-250,"Science identifies entrenched markets and societal shifts and invests in disruptive companies with new ideas and highly focused teams. The company has co-founded and invested in more than 60 companies, including DollarShaveClub, DogVacay, HelloSociety, FameBit, Mammoth Media, Pray, and PlayVS among others.""","Santa Monica, California, United States","Sep 14, 2011","Finance, Financial Services, Incubators,",Science partners with founders to develop and fund disruptive tech-based companies.,"Dec 21, 2017",Initial Coin Offering,"$12,298,073","Wavemaker Partners, Hearst Ventures,,,",$100M to $500M,—,"Greater Los Angeles Area, West Coast,"
daily.dev,—,11-50,"daily dev is a professional network for developers to learn, collaborate, and grow together.","Tel Aviv, Tel Aviv, Israel",May 2020,"Content Discovery, Developer Platform,,,","daily dev is a professional network for developers to learn, collaborate, and grow together.","Mar 23, 2023",Seed,"$11,000,000","Aleph, Jibe Ventures, Ariel Maislos,,",—,—,—
Vestas,—,10001+,"The sharp rise in energy consumption calls for a sustainable modern solution that does not create more greenhouse gases, pollution or waste for future generations. Vestas has a strong business case for adding more wind to the energy mix, and is leading the way in harnessing the power of the wind and boosting locally produced energy and jobs. This is why we call wind power, modern energy. Our sole focus is wind power and we have installed more than 38,000 wind turbines in 63 countries on five continents. We install an average of one wind turbine every three hours around the clock. By 2020, we predict that 10% of the worldâ€™s electricity production will come from wind power. And at Vestas we are striving to make that number even bigger. Join us in the quest.","Aarhus, Midtjylland, Denmark",1898,"Energy, Environmental Engineering,",Vestas is the only global energy company dedicated exclusively to wind energy. Wind is our business and our passion.,"Jul 5, 2022",Debt Financing,"€475,000,000",European Investment Bank,$10B+,—,"European Union (EU), Nordic Countries,"
CoPilot AI,—,11-50,"CoPilot AI is a SaaS company based in Vancouver, Canada. The company’s mission is to fundamentally change the way people connect with businesses. CoPilot AI is a BC Technology Impact Award finalist, and is named by Canadian Business as the winner of the Best Pivot award and one of Canada’s Fastest-Growing Companies.","Vancouver, British Columbia, Canada",Jan 2016,"Artificial Intelligence, Machine Learning,,,,",CoPilot AI is a SaaS company that uses A.I. and rich social data to connect businesses with customers in a whole new way.,"Mar 20, 2023",Grant,"$5,000,000","Victory Square, Pacific Economic Development Canada",—,—,—
Adani Enterprises,—,10001+,"Adani Enterprises focuses on building stellar infrastructural assets contributing to nation-building. Adani Enterprises is a diversified conglomerate with business interests across – Integrated Coal Management and mining, solar cells and module manufacturing, agri-storage infrastructure and services as well as edible oils and food products.","Ahmedabad, Gujarat, India",1993,"Business Development, Energy,,,",Adani Enterprises is an incubation arm of Adani Portfolio that focuses on building infrastructural assets contributing to nation-building.,"Mar 2, 2023",Post-IPO Secondary,"₹54,600,000,000","Citi, First Abu Dhabi Bank, BNP Paribas,,",—,—,Asia-Pacific (APAC)
Moonfare,—,101-250,"Moonfare is a technology-enabled platform allowing individuals to invest in top-tier private market investment opportunities at low minimums and fees. The technology aggregates demand and creates a hassle-free investment experience with improved liquidity and the ability to cherry-pick investments. Moonfare is built by a highly experienced international team of talented professionals from leading technology and investment companies including Google, Blackrock, N26, KKR, Apax Partners, and J.P. Morgan. The company is backed by leading investors Insight Partners, Vitrivian Partners, and Fidelity International.","Berlin, Berlin, Germany",2016,"Asset Management, Finance, Financial Services,,","Moonfare is a digital platform that provides HNWI, family offices, banks and their advisors access to top-tier private markets investments","Feb 7, 2023",Series C,"$15,000,000","Insight Partners, Fidelity International Strategic Ventures,,,",Less than $1M,—,European Union (EU)
Thought Machine,—,251-500,"Thought Machine is a Fintech company that builds cloud-native technology to revolutionize core banking. Its mission is to cure one of the banking industry's primary problems: its reliance on outdated IT infrastructure. Nearly every bank is stuck on a legacy IT platform, which cripples their ability to innovate and give their customers the type of service they deserve. The company provides a solution to this is Vault: a complete retail banking platform that is capable of being configured easily to suit the needs of any bank. They have built Vault from the ground up as a cloud-native, microservice API architecture platform. Thought Machine has a deep culture of engineering excellence, and they believe it is this which delivers a solution compelling enough to engender a seismic shift in the banking industry.","London, England, United Kingdom",2014,"Banking, Enterprise Software,,,",Thought Machine is a Fintech company that builds cloud-native technology to revolutionize core banking.,"May 18, 2022",Series D,"$160,000,000","Eurazeo, JPMorgan Chase & Co.,,,",$1M to $10M,—,—
Zwift,—,501-1000,"Zwift is a provider of an interactive fitness platform used to transform monotonous solo indoor cycling and running workouts into dynamic and social adventures. Its platform connects users to physical indoor trainers so that cyclists can pedal inside while immersed in any number of virtual landscapes on a screen in front of them that enable users to join in rides together with friends. Zwift uses gaming technology to bring the outdoor experience indoors, making at-home exercise fun, and engaging. It promotes social experience by connecting cyclists and runners in 3D computer-generated platform. Users of the Zwift platform interact, train, and compete together by wirelessly pairing a bike trainer or treadmill to the Zwift app, to power their in-game avatars. Zwift was launched in 2014 by Alarik Myrin, Eric Min, Jon Mayfield, and Scott Barger and is headquartered in Long Beach, California.","Long Beach, California, United States",2014,"Cycling, Fitness, Sports, Wellness",Zwift operates an online fitness platform used to transform monotonous solo indoor cycling into dynamic and social adventures.,"Sep 1, 2020",Series C,"$450,000,000","Permira, True., Shasta Ventures,,",—,—,"Greater Los Angeles Area, West Coast,"
GoodRx,—,501-1000,"GoodRx is the first and only prescription drug price comparison tool created for consumers with prices from pharmacies nationwide. GoodRx's founders are seasoned technology executives who were early employees at Facebook, Yahoo and other successful companies.","Santa Monica, California, United States",2011,"Health Care, Information Technology,,",GoodRx collects drug prices from pharmacies across the U.S. and helps users find the cheapest option for the medication they’re seeking.,"Sep 13, 2020",Private Equity,"$100,000,000","Francisco Partners, Silver Lake,,,",$100M to $500M,—,"Greater Los Angeles Area, West Coast,"
ProsperOps,—,1-10,"ProsperOps is building the robo-advisor for cloud computing. Current cost optimization tooling is recommendation based which places the operational burden on already busy DevOps and FinOps teams. This leads to lag, is error prone, and fundamentally limits what is possible to that which a human can reasonably execute. Cloud cost optimization is best handled by AI, optimization algorithms, and real-time execution engines. Like robo-advisors in the financial investing space, ProsperOps enables customers to answer a few high level questions about their cloud use after which technology takes over to handle ongoing, day-to-day cost optimization activities. This generates superior savings outcomes (on average, customers increase savings by 68%), reduces risk, and gives customers time back. Welcome to the world of Autonomous Cloud Savings. The company was founded in 2018 and is based in Austin, Texas.","Austin, Texas, United States","Sep 6, 2018","FinTech, Information Technology,,,",ProsperOps is an autonomous cloud platform that optimizes AWS savings.,"Feb 23, 2023",Series A,"$72,000,000","Active Capital, H.I.G. Growth Partners",—,—,Southern US
Mercuria,—,1001-5000,"Mercuria is an independent energy and commodity group. The Group focuses primarily on energy commodities, with a presence throughout the value chain sustained by a balanced combination of global commodity flows and strategic assets.","Geneva, Geneve, Switzerland",2004,"Energy, Oil and Gas, Sustainability",Mercuria is a privately held Swiss international commodity trading company active over a wide spectrum of global energy.,"Dec 7, 2021",Debt Financing,"$2,200,000,000",—,$1M to $10M,—,—
Regeneron,—,5001-10000,"Regeneron Pharmaceuticals is a biopharmaceutical company that discovers, develops, and commercializes pharmaceutical products for the treatment of serious medical conditions. The Company has therapeutic candidates in clinical trials for the potential treatment of cancer, eye diseases, and inflammatory diseases, and has preclinical programs in other diseases and disorders. The company’s product portfolio includes EYLEA, an aflibercept injection; ARCALYST, a rilonacept Injection for subcutaneous use; ZALTRAP for metastatic colorectal cancer; trap fusion proteins; and fully human monoclonal antibodies. On March 26, 2012, it was announced that Sanofi and Regeneron are in development with a new cholesterol drug which will help reduce cholesterol up to 72%. Regeneron Pharmaceuticals was founded in 1988 and is currently headquartered in New York, USA.","Tarrytown, New York, United States",1988,"Biopharma, Biotechnology, Pharmaceutical",Regeneron Pharmaceuticals is a biotechnology company that invents life-transforming medicines for people with serious diseases.,"Aug 22, 2016",Post-IPO Equity,"$8,900,000",U.S. Department of Health & Human Services,$1B to $10B,—,"Greater New York Area, East Coast,"
Till Payments,—,251-500,"Till Payments was founded in 2012 with the primary focus of helping technology vendors and their customers streamline their payments acceptance and operations. SimplePay is a leading payment technology company, specializing in card payment processing around the world. With connections into over 300 financial institutions across 6 continents, SimplePay enables its customers to trade and transact with their customers in a simple, effective and secure environment. SimplePay's focus is clear customer-centric payment experiences across all channels providing tremendous insights to government and private operators in the Parking, Transit, Specialty Retail & Hospitality industries. We are the leader is multi-step payment journey's and revenue assurance solutions.","Sydney, New South Wales, Australia",2012,"E-Commerce, Fraud Detection,,,",Till Payments is building the next generation of Intelligent Payment and Revenue Assurance Systems,"Mar 7, 2023",Series D,"A$70,000,000","Avenir Growth Capital, Regal Funds Management,,,",$50M to $100M,—,"Asia-Pacific (APAC), Australasia"
Savage X Fenty,—,101-250,"Savage X Fenty is an accessories company that offers underwear and other fashion clothes for women. In partnership with a team assembled from the industry’s elite, the label has disrupted and redefined the marketplace with its accessible price point and extensive assortment of lingerie. Savage X Fenty was founded by Robyn Rihanna Fenty, a music and fashion icon.","El Segundo, California, United States",2017,"E-Commerce, Fashion, Lingerie,",Savage X Fenty is a lingerie brand company that offers underwear and other fashion clothes for women.,"Jan 26, 2022",Series C,"$125,000,000","Neuberger Berman Group, L Catterton,,,",$1M to $10M,"Black / African American Founded,,,","Greater Los Angeles Area, West Coast,"
Apprentice.io,—,101-250,"Apprentice.io’s disruptive technology helps pharma manufacturers get medicine to patients faster by providing one platform to turn molecules into medicine. The Tempo Manufacturing Cloud is an intelligent platform that integrates augmented reality, voice recognition, and artificial intelligence into wearable, mobile, and desktop devices to offer a virtual collaboration application and robust manufacturing and lab execution systems that reduce human error and inefficiency in the drug production process.","Jersey City, New Jersey, United States",2014,"Enterprise Software, Intelligent Systems,,,,",Apprentice.io helps pharmaceutical producers to bring medicine to patients faster by providing one platform to turn molecules into medicine.,"Mar 20, 2023",Series C,"$65,000,000","Insight Partners, Silverton Partners,,,",$1M to $10M,—,"Greater New York Area, East Coast,"
Spotify,—,10001+,"Spotify is a commercial music streaming service that provides restricted digital content from a range of record labels and artists. Users can browse through the interface by artist, album, genre, playlist, record label, and direct searches. It also enables individuals to create, share, and edit playlists with other users. If users want recommendations, they can integrate their system with Last.fm, an application that provides music recommendations based on listening history. The radio feature installed in Spotify creates random playlists for its users that are related to preferred artists. Spotify is available for mobile device platforms such as Android, Blackberry, Boxee, iOS, Linux, MeeGo, Squeezebox, Windows mobile, and more.","Stockholm, Stockholms Lan, Sweden","Apr 23, 2006","Audio, Cloud Computing, Music,",Spotify is a commercial music streaming service that provides restricted digital content from a range of record labels and artists.,"Feb 10, 2023",Post-IPO Equity,—,"Tencent, Telia Company, Goldman Sachs,,",$1B to $10B,—,"European Union (EU), Nordic Countries,"
Rivian,—,10001+,"Rivian is an automotive technology company that develops products and services to advance the shift to sustainable mobility. The company creates solutions that redefine traditional automotive economics and remove the pain points of conventional ownership. It also manufactures autonomous electric vehicles intended to offer a comfortable and eco-friendly drive experience. Robert J. Scaringe founded Rivian in Plymouth, Minnesota in 2009.","Plymouth, Michigan, United States",2009,"Automotive, Electric Vehicle, Manufacturing,",Rivian is an automotive technology company that develops products and services to advance the shift to sustainable mobility.,"Mar 8, 2023",Post-IPO Debt,"$1,300,000,000","Amazon, T. Rowe Price, Ford Motor,,",$1B to $10B,—,"Greater Detroit Area, Great Lakes,"
MicroStrategy,Yes,1001-5000,"MicroStrategy Incorporated provides business intelligence (BI) software worldwide. It offers MicroStrategy 9, an integrated BI platform that enables businesses to make business decisions. The MicroStrategy 9 platform consists of product components, such as Intelligence Server, a foundation for the BI platform; Report Services, an enterprise reporting engine that delivers production and operational reports, managed metrics reports, and interactive dashboards; OLAP Services that allows Web and desktop users to manipulate Intelligent Cubes databases; Web and Web Universal, a browser-independent Web interface providing query, reporting, and analysis through a platform-independent architecture; Office that lets Microsoft Office users run, edit, and format MicroStrategy reports directly from within Microsoft applications; and Distribution Services product that controls report and dashboard distribution. The company was founded in 1989 and is based in McLean, Virginia.","Vienna, Virginia, United States",1989,"Analytics, Business Intelligence,,","MicroStrategy provides enterprise software for business intelligence, mobile intelligence, and network applications.","Feb 17, 2023",Post-IPO Equity,"$46,600,000",Silvergate Bank,$100M to $500M,—,"Washington DC Metro Area, East Coast,"
Imperial Dade,—,5001-10000,"Imperial Dade distributes foodservice disposables and janitorial supplies to restaurants, supermarkets, cruise lines, hotels and motels, schools, convention centers, stadiums, and other foodservice establishments. Dade primarily services the Southeast and Mid-Atlantic markets reaching from Florida to Maryland with additional locations in the Tri-State and Northeast regions. Dade Paper is a leading distributor of foodservice disposables and janitorial supplies serving customers across more than twenty states with an emphasis on supermarkets, foodservice providers, cruise lines and schools.","Jersey City, New Jersey, United States",1935,"Janitorial Service, Logistics, Packaging Services,",Imperial Dade is a food service disposables and janitorial supplies distributer.,"May 2, 2022",Secondary Market,—,"Advent International, Audax Private Equity",$100M to $500M,—,"Greater New York Area, East Coast,"
