Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Branch,—,251-500,"Branch is a developer of deep linking technology used to gain and retain mobile app users. Its deep linking technology is used to build user-to-user referral programs with features, including rewarded referrals, content sharing, deep-views, download banner, and personal onboarding that enable users to customize the whole app experience that makes discovering apps and app content easier. Branch was founded in 2014 and is headquartered in Palo Alto, California.","Palo Alto, California, United States","Apr 15, 2014","App Marketing, Mobile Advertising,,",Branch helps companies drive seamless mobile experiences through its linking infrastructure powering thousands of today's top brands.,"Feb 10, 2022",Series F,"$300,000,000","Madrona, Samsung NEXT, New Enterprise Associates,,",$10M to $50M,Women Founded,"San Francisco Bay Area, Silicon Valley,"
CCP Games,—,251-500,"CCP Games is an independent developer of massively multiplayer online (MMO) games. They are creators of boundless and fascinating universes. Their products feature EVE Online, Project M5, and FPS projects. Since the launch of EVE Online in May 2003, CCP has established itself as a company in the field, winning numerous awards and receiving critical acclaim worldwide.","Reykjavík, Gullbringusysla, Iceland","Jun 1, 1997","MMO Games, Online Games, Video Games",CCP Games is an independent developer of massively multiplayer games (MMO).,"Mar 21, 2023",Venture - Series Unknown,"$40,000,000","Andreessen Horowitz, General Catalyst,,,",$10M to $50M,—,"Nordic Countries, Scandinavia"
Mantra Health,—,11-50,"Mantra Health is a digital mental healthcare company designed for all university students. Using its proprietary Collaboration Portal, Mantra develops custom, integrated telemental health programs that improve clinical outcomes and reduce time to access care for universities of all sizes.","New York, New York, United States","Oct 30, 2018","Health Care, Medical, Wellness",Mantra Health is a digital mental healthcare company designed for all university students.,"Mar 27, 2023",Series A,"$5,000,000","Alumni Ventures, HOF Capital,,,",—,—,"Greater New York Area, East Coast,"
VPBank,—,10001+,"VPBank offers insurance, personal services, loans, electronic banking, and other products and services. VPBank is a joint-stock commercial bank in Vietnam. VPBank has achieved steady development throughout its history. Especially since 2010, VPBank has grown dramatically with the development and implementation of the strategic transformation program, with diligent support from consulting companies.","Hanoi, NA - Vietnam, Vietnam",1993,"Banking, Employee Benefits, Financial Services","VPBank offers insurance, personal services, loans, electronic banking, and other services.","Mar 27, 2023",Post-IPO Equity,"₫35,900,000,000,000","International Finance Corporation,",—,—,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN),"
Dropbox,Yes,1001-5000,"Dropbox provides secure file sharing, collaboration, and storage solutions. Dropbox is to unleash the world’s creative energy by designing a more enlightened way of working.","San Francisco, California, United States","Jun 1, 2007","Collaboration, Enterprise Software,,,","Dropbox is a smart workspace company that provides secure file sharing, collaboration, and storage solutions.","Mar 30, 2017",Debt Financing,"$600,000,000","Deutsche Bank, JP Morgan Chase,,,",$100M to $500M,—,"San Francisco Bay Area, West Coast,"
Apollo.io,—,251-500,"Apollo.io is a B2B sales intelligence and engagement platform, trusted by over 160,000 companies and more than one million users globally, from rapidly growing startups to some of the world's largest enterprises. Apollo.io provides sales teams with easy access to contact data for over 220 million contacts, along with tools to engage with these contacts in one single platform. By helping sales professionals find the most accurate contact information and automating the outreach process, Apollo.io turns prospects into customers. It was founded in 2015 and is based in San Francisco, California.","San Francisco, California, United States",2015,"Lead Generation, Sales, Sales Automation,",Apollo.io provides a foundation for end-to-end sales strategies by providing a data platform for built-in integrations.,"Mar 3, 2022",Series C,"$110,000,000","Sequoia Capital, Y Combinator,,,",$1M to $10M,—,"San Francisco Bay Area, West Coast,"
SITA,—,1001-5000,"SITA is an air transport information technology and communications specialist, providing IT and telecommunication services to the air transport industry. Its IT and communication solutions are used by airlines, airports, governments, air cargo, aerospace, and international organizations. Almost every airline and airport in the world collaborates with SITA and relies on its expertise. Its strategic direction, developments, and innovations are driven by industry requirements. SITA currently serves around 450 members worldwide. SITA is guided by the expertise and experiences of the SITA Board and SITA Council.  The services provided by the company include managed global communications, infrastructure, and outsourcing services. It also assists its customers by providing services for airline commercial management, passenger operations, flight operations, aircraft operations, air-to-ground communications, airport management and operations, baggage operations, transportation security and border management, cargo operations, and more.","Cointrin, Geneve, Switzerland",1949,"Aerospace, Information Technology,,","SITA is an air transport IT and communications specialist, providing IT and telecommunication services to the air transport industry.","Jul 7, 2022",Debt Financing,"$400,000,000",—,$1B to $10B,—,—
Flutura,—,51-100,"Flutura is an AI Solutions company focused on improving two core business objectives of ""Asset Uptime"" and ""Operational Efficiency"". Flutura does this with Cerebra, their AI Platform tuned for IIOT in Oil & Gas, Process Manufacturing, and Heavy machinery manufacturing industries, powering connected asset and connected operations use cases.","Houston, Texas, United States",2012,"Artificial Intelligence, Business Information Systems,,,,,,",Flutura is an AI solutions company focused on improving two core business objectives - “Asset Uptime” and “Operational Efficiency” .,"Feb 3, 2022",Non-equity Assistance,—,"Vertex Ventures, Vertex Ventures Southeast Asia & India,,,",$10M to $50M,—,"Greater Houston Area, Southern US"
Reliance Retail,—,10001+,"Since its inception in 2006, Reliance Retail Limited (RRL) has grown into an organization that caters to millions of customers, thousands of farmers, and vendors. Based on its core growth strategy of backward integration, RRL has made rapid progress towards building an entire value chain starting from the farmers to the end consumers. Reliance Retail continued to expand the presence of its value and specialty formats. During the year, Reliance Retail opened 90 new stores spanning across 'value' and 'specialty' segments. In-store initiatives, wider product choice, and value merchandizing enabled the business to achieve robust growth during this period.","Mumbai, Maharashtra, India",2006,"Consumer Goods, Grocery, Retail","Reliance Retail offers online shopping and a chain of neighborhood stores, supermarkets, and wholesale/specialty stores.","Nov 6, 2020",Private Equity,"₹95,550,000,000","Silver Lake, Saudi Arabia's Public Investment Fund,,,",$10B+,—,Asia-Pacific (APAC)
Dish Network,—,10001+,"Dish Network is a satellite service provider that offers satellite television, audio programming, and interactive television services. The company operates through two segments, DISH and Wireless, and provides video services under the DISH brand. Its programming packages include regional and specialty sports channels, premium movie channels, and Latino and international programming through national broadcast networks, local broadcast networks, national and regional cable networks; and receiver systems. Additionally, Dish Network provides satellite broadband services, wireline voice, and broadband services under the dishNET brand; and linear streaming OTT services, which include news and children’s programs as well as a video-on-demand programming library. The company also offers dishanywhere.com and mobile applications for smartphones and tablets to view authorized content, search program listings, and remotely control features of their digital video recorders. Its Dishanywhere.com and mobile applications provide access to approximately 80,000 movies, television shows, clips, and trailers. Further, it has wireless spectrum licenses and related assets and offers receiver systems and programming through direct sales channels, small satellite retailers, direct marketing groups, local and regional consumer electronics stores, nationwide retailers, and telecommunications companies. Dish Network was founded by Charlie Ergen in 1980 and is based in Englewood, Colorado.","Englewood, Colorado, United States",1980,"Audio, Satellite Communication,,",DISH Network provides television entertainment and technology to customers with its satellite DISH TV and streaming SLING TV services.,"Jan 17, 2023",Post-IPO Debt,"$1,500,000,000",—,$1M to $10M,—,"Greater Denver Area, Western US"
Quantive,—,251-500,"Quantive (formerly Gtmhub) is the world’s leading Strategy Execution Platform based on the OKR management methodology. By embedding strategic context, priorities, and progress into the day-to-day, Quantive creates organizations that excel at execution. With over 2,000 global customers across enterprises, not-for-profits, startups, and governments, Quantive helps today's businesses accelerate growth and transformational change by creating better visibility and organizational alignment.","Denver, Colorado, United States","Jul 7, 2015","Business Intelligence, Enterprise Software,,",Quantive (formerly Gtmhub) is the world’s leading Strategy Execution Platform based on the OKR management methodology.,"Dec 16, 2021",Series C,"$120,000,000","Techstars, Insight Partners, Eleven Ventures,,",$10M to $50M,—,"Greater Denver Area, Western US"
Wellvana,—,11-50,"Wellvana is a hospital and healthcare that specialized in providing the required infrastructure to enable the collaboration of independent medical providers to improve healthcare quality, cost, and patient experience. Its services also offer a platform for providers to actively shape their future and provide patients with the right care, in the right care setting. The company was founded in 2018 and is headquartered in San Antonio, Texas.","Nashville, Tennessee, United States",2019,"Health Care, IT Infrastructure,",Wellvana provides the required infrastructure to enable the collaboration of independent medical providers.,"Mar 10, 2023",Series B,"$84,000,000","Memorial Hermann Foundation,,,",—,—,Southern US
Amarenco,—,101-250,"Amarenco is a fast growing, independent Solar PV investment company with a founding executive team that has wide and deep experience in energy and renewables infrastructure.","Cork, Cork, Ireland","Jan 1, 2013","Energy, Renewable Energy, Solar","Amarenco is a fast growing, independent Solar PV investment company with a founding executive team that has wide and deep experience in","Mar 14, 2023",Private Equity,"€300,000,000","Tikehau Capital, IDIA Capital Investissement,",—,—,European Union (EU)
Graphiant,—,101-250,"Graphiant is a venture-funded startup working on next-generation networking technologies. The company has developed Graphiant Network Edge, a software-as-a-service solution that connects the enterprise WAN, hybrid cloud, network edge, clients, and partners. It was founded in 2020 and is headquartered in San Jose, California.","San Jose, California, United States","Aug 10, 2020","Impact Investing, Information Technology,",Graphiant is a venture-funded startup working on next-generation networking technologies.,"Mar 28, 2023",Series B,"$62,000,000","Sequoia Capital, Atlantic Bridge,,",—,—,"San Francisco Bay Area, Silicon Valley,"
JhaJi Store,—,11-50,"JhaJi Store is an online store offering homemade pickled products using authentic traditional recipes. Kalpana and Uma Jha started this business to take Mithila’s authentic taste to people who have once lived in the region but have since moved out for work or education. Over the last 30 years, both of them have been shipping pickles to friends and family everywhere from New Delhi to New York. In a little over 18 months, the business has profitably sold pickles worth more than Rs. 5 Crores to 60,000+ customers all over the country and has received 2500+ 5-star reviews. The pickles are made using local, all-natural ingredients and spices sourced from small-scale farmers and traders in Samastipur and Muzaffarpur. JhaJi’s pickles are completely free of all artificial or chemical preservatives and colors. JhaJi Store is an honest and conscious business that employs mostly underprivileged women, but also men, who have seen their family income triple in the few months they have been working with JhaJi. The business also spends 2% of its revenues directly towards the cause of girl child education.","Darbhanga, Bihar, India","Oct 22, 2020","Commercial, Consumer Goods,,","JhaJi Store is an online store offering homemade pickled products using authentic traditional recipes from Mithilanchal, Bihar","Jan 2, 2023",Angel,"₹130,000,000","Namita Thapar, Vineeta Singh,,,",—,—,Asia-Pacific (APAC)
Ather Energy,—,1001-5000,Ather Energy is a manufacturer of electric scooters and an electric vehicle charging network called AtherGrid. It focuses on building a complete ecosystem for India’s electric vehicles which are powered by indigenous design and all locally manufactured.,"Bangalore, Karnataka, India",2013,"Clean Energy, Electric Vehicle,,",Ather Energy operates as a manufacturer of electric scooters.,"Oct 18, 2022",Series E,"₹4,006,400,000","Tiger Global Management, InnoVen Capital,,,",—,—,Asia-Pacific (APAC)
E8,—,51-100,"E8 provides internet services for individuals and other companies access to the internet. They offer home and commercial internet packages. They promote poverty reduction, learning, remote work, communication, entertainment, and access to services for daily life in the digital environment.","Dallas, Texas, United States",2015,"Commercial, Internet, Telecommunications",E8 is an internet company that provides telecommunications services.,"Mar 15, 2023",Venture - Series Unknown,"$200,000,000",Digital Alpha,—,—,"Dallas/Fort Worth Metroplex, Southern US"
DICE,—,101-250,"DICE was founded in London in 2014, DICE helps fans discover and buy tickets to live shows and streams all over the world. Available in the UK, US, France, Italy, Spain, India and Australia, and accessible to fans globally through its live stream offering, DICE is on a mission to get people out more.","London, England, United Kingdom",2014,"Events, Media and Entertainment,,",DICE is a curated platform that connects fans to live shows.,"Sep 27, 2021",Series C,"$122,000,000","Kima Ventures, Edward Lando,,,",$1M to $10M,—,—
qlub,—,101-250,"Qlub develops a fast and secure payment solution for consumers in restaurants. Qlub allows restaurant, pub, and cafe owners to present their menus and accept payments in seconds. It's the kind of fast-paced stuff that people are used to, with the added benefit of keeping staff and guests happy. Qlub only takes 10 seconds to pay by scanning a QR code, paying with one click, and walking away. All of this is possible without the need to install an app.","Dubai, Dubai, United Arab Emirates",Jul 2021,"Financial Services, FinTech, Payments,",Qlub develops a fast and secure payment solution for consumers in restaurants.,"Mar 17, 2023",Series A,"$25,000,000","Al Dhabi Capital, Cherry Ventures,,,",—,—,Gulf Cooperation Council (GCC)
Acceldata,Yes,101-250,"Founded in 2018, Campbell, CA-based Acceldata has developed the world's first enterprise data observability platform to help enterprises build and operate great data products. Acceldata's solutions have been embraced by global customers, such as Dun & Bradstreet, Verisk, Oracle, PubMatic, PhonePe (Walmart), DBS, and many more. Acceldata investors include Insight Partners, March Capital, Industry Ventures, Lightspeed, Sorenson Ventures, Sanabil, and Emergent Ventures. Contact us to learn about the benefits of data observability. The company was founded in 2018 and is based in San Jose, California.","Campbell, California, United States",2018,"Big Data, Enterprise Software,",Acceldata offers a comprehensive data observability platform which allows data-driven enterprises to streamline their operations.,"Feb 8, 2023",Series C,"$50,000,000","Insight Partners, Sanabil, Industry Ventures,,",—,—,"San Francisco Bay Area, Silicon Valley,"
Travelport,—,1001-5000,"Travelport is a technology company that makes the experience of buying and managing travel continually better. It operates a travel commerce platform providing distribution, technology, payment, and other solutions for the global travel and tourism industry.","Slough, Buckinghamshire, United Kingdom",1971,"Adventure Travel, E-Commerce,,,,,,","Travelport Limited provides business services, as well as transaction processing solutions and data to companies operating in the travel.","Jun 5, 2020",Private Equity,"$500,000,000","Canada Pension Plan Investment Board,,,",$1B to $10B,—,—
Sonder,—,501-1000,"Sonder is revolutionizing hospitality through innovative, tech-powered service and inspiring, thoughtfully designed accommodations combined into one seamlessly managed experience. Officially launched in 2014 and headquartered in San Francisco, Sonder is making a world of better stays open to all with a variety of accommodation options — from rooms to suites and apartments — found in more than 30 cities spanning eight countries and three continents. Sonder’s innovative app empowers guests by making self-service features and 24/7 on-the-ground support just a tap away. From simple self check-in to boutique bathroom amenities, we bring the best of a hotel without any of the formality.","San Francisco, California, United States",Jul 2014,"Hospitality, Tourism, Travel",Sonder is a tech-driven hospitality company offering spaces built for travel and life in cities around the world.,"Jan 19, 2022",Post-IPO Equity,"$310,000,000","BlackRock, Fidelity, Valor Equity Partners,,",$100M to $500M,—,"San Francisco Bay Area, West Coast,"
Fazz,—,501-1000,"Fazz enables merchants from SMEs to Enterprises to accept payments, transfer, bank, and invest. The firm offers Fazz Agen, an agent-based financial application serving micro and small businesses in Indonesia. Fazz Business is a business account to help startups, MSMEs, and large corporations build, run, and grow their businesses across Southeast Asia by providing the ability to pay and receive payments, grow capital, and get funding. The company was founded in 2016 and is based in Singapore and Indonesia. PayFazz and Xfers merged and formed Fazz.","Singapore, Central Region, Singapore","May 18, 2016","Banking, Financial Services, FinTech,,","Fazz enables businesses to send and receive payments, grow their capital, and get funding.","Mar 3, 2023",Venture - Series Unknown,"$5,300,000","Y Combinator, Lendable, Tiger Global Management,,",—,—,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN),"
Devo,—,251-500,"Devo is the only cloud-native logging and security analytics platform that releases the full potential of your data to empower bold, confident action. With unrivaled scale to collect all of your data without compromise, speed to give you immediate access and answers, and clarity to focus on the signals that matter most, Devo is your ally in protecting your organization today and tomorrow. Headquartered in Cambridge, Mass., Devo is backed by Insight Partners, Georgian, TCV, General Atlantic, Bessemer Venture Partners, Kibo Ventures and Eurazeo. Devo Technology was founded in 2011 and is headquartered in Cambridge, Massachusetts.","Cambridge, Massachusetts, United States","May 1, 2011","Analytics, Big Data, Cloud Data Services,,,",Devo is a cybersecurity company that provides cloud-native logging and security analytics for organizations.,"Jun 2, 2022",Series F,"$100,000,000","Eurazeo, General Atlantic, Insight Partners,,",$1M to $10M,Hispanic / Latine Founded,"Greater Boston Area, East Coast,"
Coincover,—,51-100,"Coincover is a cryptocurrency insurance-backed technology that helps protect digital assets from hacks and human error. Protection provides safety against the loss or theft of crypto assets, and fraudulent transactions. Coincover Protection provides end-users unparalleled safety against the loss or theft of crypto assets, and fraudulent transactions, ensuring assets are both safe and accessible. Coincover Protect delivers through a key combination of technology solutions Cryptocurrency Theft cover: protecting end-users against cryptocurrency theft from phishing, hacking and cyber attacks to criminal extortion. If the worst does happen, Coincover will retrieve the value of crypto funds fast. With no deductible, the full value of crypto is returned. Deposit Protection Guarantee: protection for end-user cryptocurrency deposits against lost access; including password, device and key loss as well as through business failure. Funds are guaranteed to always be accessible. Transaction Checker: real time transaction monitoring for crypto assets to ensure genuine transactions. Coincover identifies, investigates and flags any suspicious transactions in real time so end-users never need worry about theft of crypto funds.","Cardiff, Cardiff, United Kingdom",May 2018,"Blockchain, Cryptocurrency, Financial Services,,",Coincover is a cryptocurrency insurance-backed technology that helps protect digital assets from hacks and human error.,"Feb 9, 2023",Series B,"$30,000,000","Valor Equity Partners, Insurtech Gateway,,,",—,—,—
Medium,Yes,101-250,"Medium is a social publishing platform that allows anyone to share ideas and perspectives that matter. For writers, Medium offers simple creation tools combined with a larger distribution network. For readers, Medium allows people to follow people and topics that matter to them and receive a personalized feed of content every day. Readers can join in the conversation by highlighting, recommending, or responding to posts. It was founded n 2013 and headquartered in San Francisco, California.","San Francisco, California, United States","Jul 18, 2011","Internet, News, Publishing, Tour Operator,",Medium is a social publishing network that connects ideas and perspectives on topics that matter.,"Nov 18, 2021",Venture - Series Unknown,"$30,967,569","Andreessen Horowitz, Google Ventures,,,",$10M to $50M,—,"San Francisco Bay Area, West Coast,"
HelloSelf,—,51-100,"HelloSelf provides online counselling and life coaching services to help people cope with stress. The company's services include elements such as stress, anxiety, and confidence testing using professionally proven procedures, allowing patients to schedule appointments with psychologists and therapists at their leisure. HelloSelf was established in 2018 in London, England by Charles Wells.","London, England, United Kingdom",2018,"Health Care, Personal Health,",HelloSelf is a health and wellness platform that provides its users with digital access to therapists.,"Mar 14, 2023",Series B,"$20,000,000","Google for Startups, Octopus Ventures,,,",—,—,—
HUB Security,—,501-1000,HUB Security was established in 2017 by veterans of the 8200 and 81 elite intelligence units of the Israeli Defense Forces. The company specializes in unique Cyber Security solutions protecting sensitive commercial and government information. The company debuted an advanced encrypted computing solution aimed at preventing hostile intrusions at the hardware level while introducing a novel set of data theft prevention solutions. HUB operates in over 30 countries and provides innovative cybersecurity computing appliances as well as a wide range of cybersecurity professional services worldwide.,"Tel Aviv, Tel Aviv, Israel","Nov 1, 2017","Cloud Computing, Cloud Security,,,,,",HUB Security is redefining cyber security with quantum driven confidential computing,"Mar 15, 2023",Post-IPO Equity,"$20,000,000","OurCrowd, AXA Venture Partners,",$1M to $10M,—,—
Redis,—,501-1000,"Redis makes apps faster, by creating a data layer for a real-time world. We are the sponsor of the open source Redis project, the world’s most loved in-memory database, and deliver Redis Enterprise, a real-time data platform. Developers rely on Redis to build performance, scalability, reliability, and security into their applications. Born in the cloud-native era, Redis uniquely enables users to unify data across multi-cloud, hybrid and global applications to maximize business potential.","Mountain View, California, United States",2011,"Analytics, Big Data, Cloud Data Services,,,,,",Redis is the sponsor of the open source database and delivers an enterprise-grade data platform to power real-time experiences.,"Dec 16, 2021",Secondary Market,"$1,200,000","Francisco Partners, Silicon Valley Bank,,,",$10M to $50M,—,"San Francisco Bay Area, Silicon Valley,"
JD.com,Yes,10001+,"JD.com is an online direct sales company in China in terms of transaction volume, with a market share in China of 54.3% in the second quarter of 2014, according to iResearch, a third-party market research firm. JD.com believes they provide consumers an enjoyable online retail experience. Through their content-rich and user-friendly website www.JD.com and mobile applications, JD.com offers a wide selection of authentic products at competitive prices which are delivered in a speedy and reliable manner. JD.com also offer convenient online and in-person payment options and comprehensive customer services. In order to have better control over fulfillment and to ensure customer satisfaction, JD.com has built their own nationwide fulfillment infrastructure and last-mile delivery network, staffed by their own employees, which supports both their online direct sales and their online marketplace businesses. JD.com has established strong relationships with their suppliers as they develop their online direct sales business. Leveraging their strengths, they launched their online marketplace business in 2010, which has allowed us to significantly expand their selection of products and services. Timely and reliable fulfillment is critical to the success of an online retail business. JD.com believes that they have the largest fulfillment infrastructure of any e-commerce company in China. As of June 30, 2014, JD.com operated 97 warehouses with an aggregate gross floor area of approximately 1.8 million square meters and 1,808 delivery stations and 715 pickup stations. As of June 30, 2014, their self-operated delivery network covered 1,780 counties and districts and their 211 program and next-day delivery program covered 111 and 622 counties and districts, respectively, across China. JD.com has 62,061 full-time employees as of July 31, 2014. JD.com is a technology-driven company and has invested heavily in developing their own highly scalable proprietary technology platform that supports their rapid growth and enables us to provide value-added technology services.","Beijing, Beijing, China","Jun 6, 1998","E-Commerce, Internet, Logistics,,,",JD.com is an internet company and online consumer electronics retailer in China.,"Dec 28, 2021",Post-IPO Debt,"$2,000,000,000","Google, Kingdom Holding Company,,,",$10B+,—,Asia-Pacific (APAC)
State Bank of India,—,10001+,"The State Bank of India (SBI) is an Indian multinational, public sector banking and financial services company. It is a government-owned corporation headquartered in Mumbai, Maharashtra. The company is ranked 216th on the Fortune Global 500 list of the world's biggest corporations as of 2017. It is the largest bank in India with a 23% market share in assets, besides a share of one-fourth of the total loan and deposits market.","Mumbai, Maharashtra, India","Jan 1, 1955","Banking, Finance, Financial Services","The State Bank of India (SBI) is an Indian multinational, public sector banking and financial services company.","Mar 9, 2023",Post-IPO Debt,"₹37,170,000,000",—,—,—,Asia-Pacific (APAC)
Pismo,—,101-250,"Pismo is a technology company providing an all-in-one processing platform for banking, payments, and financial markets infrastructure. Large banks, marketplaces, and fintech already use our cloud-native microservices platform. Pismo clients are launching next-generation solutions while migrating their legacy systems onto the most advanced platform in the market. Pismo cloud-based platform empowers teams to build fast and companies to launch rapidly, scaling as they grow to have a broader audience while keeping high security and availability standards.","Bristol, Bristol, City of, United Kingdom","Dec 1, 2016","Banking, Cloud Computing, FinTech,,,",Next-gen banking and payments at hyperscale.,"Oct 19, 2021",Series B,"$108,000,000","Amazon, Accel, Headline, SOFTBANK Latin America Ventures,",—,—,—
Equinix,—,10001+,"Equinix is an internet company that provides data center services for companies, businesses, and organizations. It offers a software application platform designed for digital businesses that help its users to connect to their customers, employees, and partners. The company was founded in 1998 and headquartered in Redwood City, California.","Redwood City, California, United States",1998,"Cloud Data Services, Data Center,,,,","Equinix is an internet company that provides data center services for companies, businesses, and organizations.","Jan 9, 2017",Post-IPO Debt,"€1,000,000,000","Microsoft, Ameriprise Financial,,,",$1B to $10B,—,"San Francisco Bay Area, Silicon Valley,"
