Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
SandboxAQ,—,101-250,SandboxAQ is an enterprise SaaS company that provides AI and quantum computing solutions. SandboxAQ's solutions include post-RSA cybersecurity modules that migrate enterprises to higher levels of security. SandboxAQ modules enable post-quantum cryptography in line with emerging standards in this field.,"Palo Alto, California, United States",2016,"Artificial Intelligence, Cyber Security,,,",SandboxAQ is an enterprise SaaS company that provides AI and quantum computing solutions.,"Feb 14, 2023",Venture - Series Unknown,"$500,000,000","T. Rowe Price, Breyer Capital, Section 32,,",—,—,"San Francisco Bay Area, Silicon Valley,"
BlockTower Capital,—,11-50,"BlockTower is a crypto and blockchain investment firm that uses trading, investing, and portfolio management to this digital asset class.","New York, New York, United States",2017,"Blockchain, Cryptocurrency, Finance,,","BlockTower is a crypto and blockchain investment firm that uses trading, investing, and portfolio management to this digital asset class.","Jan 4, 2018",Venture - Series Unknown,"$140,000,000","Andreessen Horowitz, Union Square Ventures,",$1M to $10M,—,"Greater New York Area, East Coast,"
Berkshire Hathaway,—,10001+,"Berkshire Hathaway is a multinational conglomerate holding company headed by its President & CEO, [Warren Buffet](http://www.crunchbase.com/person/warren-buffett). The company owns, manages and oversees subsidiary companies. Some companies they own wholly include GEICO, Fruit of the Loom, and Helzberg Diamonds. Berkshire Hathaway also holds a significant minority in American Express, The Coca-Cola Company, Wells Fargo, and IBM. The company is considered to be the ninth largest public company in the world, according to Forbes Global 2000 list.","Omaha, Nebraska, United States","Jan 1, 1839","Air Transportation, Credit, Insurance,,",Berkshire Hathaway is a multinational conglomerate holding company.,"Sep 27, 2022",Post-IPO Equity,"$68,000,000","Pershing Square Capital Management,",$10B+,—,Midwestern US
Nimble Robotics,—,101-250,"Nimble builds AI-powered robots that pick and pack anything to enable fast, affordable, and sustainable on-demand order fulfillment. Nimble's robots integrate into production with no modifications to the WMS/WCS. Its solutions offer a stable labor force, cost savings, reduced staff churn, and increased efficiencies. Nimble provides unrivaled reliability in handling any product by utilizing proprietary human-in-the-loop supervision and an AI framework.","San Francisco, California, United States",2017,"Artificial Intelligence, Computer Vision,,,,,",Nimble Robotics reimagines fulfillment with intelligent robots that can pick and pack anything.,"Mar 16, 2023",Series B,"$65,000,000","GSR Ventures, Accel, Breyer Capital,,",—,—,"San Francisco Bay Area, West Coast,"
Monite,—,11-50,"Monite is an add invoicing and payables automation management platform. Monite is building an embedded finance automation solution. In 3-5 weeks, Monite enables B2B brands to integrate invoicing, AP automation, and expense management into their current interface.","Berlin, Berlin, Germany",2020,"Financial Services, FinTech, Payments,",Monite is an add invoicing and payables automation management platform.,"Mar 20, 2023",Seed,"$5,000,000","Runa Capital, s16vc, Possible Ventures,,",Less than $1M,—,European Union (EU)
Securiti,—,501-1000,"Securiti is the leading provider of Unified Data Controls with its Data Controls Cloud. It is a holistic solution for privacy, security, governance, and compliance across on-premise, hybrid, and multi-cloud environments in different geographies. Securiti was named Gartner Cool Vendor in Data Security, “Most Innovative Startup” at RSA Conference 2020, winner of “IAPP Privacy Innovation Award”, and Leader in both Forrester Wave and IDC Marketscape for Data Privacy Management Software. Securiti Data Controls Cloud is a full-stack solution for Security, Privacy, Governance, and Compliance, anchored around AI/ML Sensitive Data Intelligence.","San Jose, California, United States",2019,"Cloud Security, Cyber Security,,","Securiti is a unified data control company that manages security, compliance, and privacy risks.","Mar 14, 2023",Venture - Series Unknown,—,"General Catalyst, Mayfield Fund,,,",$10M to $50M,—,"San Francisco Bay Area, Silicon Valley,"
Mintifi,—,251-500,Mintifi is India’s first online lending platform with the mission of achieving financial empowerment for small and medium businesses. They provide loans and other simple lending solutions to SMBs in the fastest and easiest way possible. They look at much more than your credit score so that gets exactly what need for business.,"Mumbai, Maharashtra, India",2017,"Financial Services, FinTech, Lending",Mintifi is a supply chain financing platform that provides loans and other simple lending solutions.,"Mar 8, 2023",Series D,"₹9,025,000,000","International Finance Corporation,,,,",Less than $1M,—,Asia-Pacific (APAC)
Karat,—,101-250,"Karat created Interviewing Cloud to solve the multi-decade global shortage of software engineers. The Interviewing Cloud is an always-on, scalable, and consistent human + tech solution for conducting predictive, fair, and enjoyable technical interviews 24/7. The company’s global network of Interview Engineers, unparalleled market intelligence, and purpose-built interviewing infrastructure opens the pipeline for engineering talent, limits pedigree bias, and provides access for underrepresented candidates. Roblox, American Express, Intuit, Compass, and Wayfair trust Karat to expand hiring capacity, unlock developer time, and raise engineering quality so they can innovate and grow.","Seattle, Washington, United States","Mar 25, 2014","Information Technology, Recruiting,,",Karat develops an interviewing cloud platform to solve the multi-decade global shortage of software engineers.,"Apr 19, 2022",Angel,—,"8VC, Norwest Venture Partners,,,",$1M to $10M,—,"Greater Seattle Area, West Coast,"
Octane,—,501-1000,"Octane’s mission is to connect people with their passions by making lifestyle purchases, like powersports vehicles, RVs, and outdoor power equipment, fast, easy, and accessible. Octane combines cutting-edge technology with innovative risk strategies to deliver a seamless, end-to-end buying experience. The company adds value throughout the customer journey: inspiring enthusiasts with its editorial brands, including Cycle World® and UTV Driver®, instantly prequalifying consumers for financing online with its suite of e-commerce tools, routing customers to partner dealerships for an easy closing experience, and supporting customers throughout their loan with superior loan servicing. Founded in 2014, Octane is a remote-first workplace with offices in New York, Irving, TX, Irvine, CA, and Knoxville, TN, and the company works with over 35 OEM and 4000 dealer partners across the United States. Octane made the 2022 Inc 5000 list of America’s Fastest Growing Private Companies in America and is Certified by Great Place to Work. To learn more, visit www.octane.co.","New York, New York, United States",2014,"Credit, Financial Services, FinTech,,",Octane offers access to instant financing to fuel their customers lifestyle.,"Feb 24, 2023",Debt Financing,"$407,000,000","Gaingels, Third Prime, Dreamit Ventures,,",—,Hispanic / Latine Founded,"Greater New York Area, East Coast,"
Arbitrum,—,11-50,"Arbitrum is a commercial content moderation company that provides the best solution of user generated image, video, and text content moderation which combines automation and human resources.","Newark, Delaware, United States",2010,"Content, Digital Media, Information Technology,","Arbitrum is a text, image, and video moderation service.","Apr 10, 2017",Venture - Series Unknown,"$500,000","Balaclava Lab, Oskars Liepins,,",Less than $1M,—,"Greater Philadelphia Area, East Coast,"
Threecolts,—,101-250,"Threecolts is an e-commerce management platform provider. It creates management software for e-commerce brands and individual merchants to manage their sales channels on Amazon, Walmart, and eBay. Over 22,000 businesses worldwide use the company's services, including consumer brands and Fortune 500 companies like Samsung, Panasonic, and L'Oréal.","London, England, United Kingdom",2021,"E-Commerce, Product Management,,,",Threecolts is an e-commerce management platform provider for Amazon businesses.,"Mar 7, 2023",Series A,"£75,400,000","CoVenture, Stratos Technologies,,",—,—,—
Vinfast,—,1001-5000,"Vinfast is the automotive brand of Vietnamese conglomerate, VinGroup. VinFast envisioned to drive the movement of the global smart electric vehicle revolution. Established in 2017, VinFast owns a state-of-the-art automotive manufacturing complex with globally leading scalability that boasts up to 90% automation in Hai Phong, Vietnam. Strongly committed to the mission for a sustainable future for everyone, VinFast constantly innovates to bring high-quality products, advanced smart services, seamless customer experiences, and pricing strategy for all to inspire global customers to jointly create a future of smart mobility and a sustainable planet.","Hai Phong, NA - Vietnam, Vietnam",Jun 2017,"Automotive, Industrial Manufacturing,","Vinfast is the automotive manufacturing brand of Vingroup, Vietnam's largest conglomerate, .","Oct 23, 2022",Debt Financing,"$135,000,000","Finnfund, Asian Development Bank,,",—,—,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN),"
Hims & Hers,Yes,251-500,"Hims & Hers connects consumers with licensed medical professionals and enables everyone to seek health and wellness care. Its mission is to eliminate stigmas and make it easier for people to access care and treatment for the conditions that impact their daily lives. With a telemedicine approach, customers can get diagnosed and treated at a lower cost and with greater convenience. Hims was incubated at San Francisco-based venture-builder, Atomic by Andrew Dudum and Jack Abraham in 2017. At first, the focus was on providing telehealth services, such as for erectile dysfunction and hair loss. But HIMS would quickly expand its platform. And in 2018, there was the launch of Hers. It also moved into categories like mental health, dermatology, and primary care. To help with the management of the growing organization, HIMS created its own EHR (Electronic Health Record) system. The company also has partnered with a variety of health care operators — such as Ochsner Health, Mount Sinai Health System, and Privia Health — to provide access to in-person visits with doctors.","San Francisco, California, United States",2017,"Health Care, Lifestyle, Men's, Wellness,","Hims is a wellness brand that helps men and women get access to products for skin care, hair loss, and sexual health.","Jan 20, 2021",Post-IPO Equity,"$75,000,000","8VC, Thrive Capital, Franklin Templeton Investments,,",$100M to $500M,Women Founded,"San Francisco Bay Area, West Coast,"
Wingspan,—,11-50,"Wingspan is a platform for freelancers to manage income, benefits, and taxes. Its platform sends invoices with tools that make receiving payments easier, automatically handles bookkeeping and expenses, and finds tax deductions.","New York, New York, United States",2019,"Financial Services, FinTech, Information Technology,","Wingspan is a platform for freelancers to manage income, benefits, and taxes.","Mar 16, 2023",Series A,"$14,000,000","Airbnb, Andreessen Horowitz,,,",—,—,"Greater New York Area, East Coast,"
OpsRamp,—,101-250,"OpsRamp enables IT to control the chaos of managing their hybrid IT operations and act as a service provider back to the business. Built in the cloud, the OpsRamp service-centric AIOps platform drives total visibility across hybrid infrastructures, offers complete multi-cloud infrastructure monitoring and management of business-critical services, and optimizes services through automation and integration with ITSM and DevOps tools. Now enterprise IT can deliver IT operations as a service and power a digital operations command center that’s built for the challenges of modern, hybrid infrastructure.","San Jose, California, United States",2014,"Cloud Infrastructure, Information Technology,,,","The OpsRamp IT operations platform discovers, monitors, manages and automates hybrid IT infrastructure.","Jan 30, 2020",Series C,"$37,500,000","Hewlett Packard Enterprise, Sapphire Ventures,",$10M to $50M,—,"San Francisco Bay Area, Silicon Valley,"
Good Eggs,—,251-500,"Good Eggs is a pioneering online grocer and meal kit delivery service with a mission to reinvent your food system, for good. The Bay-Area based company is the only service that combines absurdly fresh local produce, meal kits for every occasion, grocery staples, and wine, beer, and spirits to wash it down. With same-day delivery across the Bay Area, Good Eggs is the simplest way to feed your family well all week long. Over the past two years, Good Eggs has added over 1,000 items across categories to its marketplace and expanded its delivery footprint throughout SF, East Bay, Marin, and the South Bay and Peninsula. As the company has grown, they remain steadfast in their mission. Over 70% of Good Eggs’ assortment is local, and every item carried must meet a strict list of sourcing standards. In addition to good food, the company provides good jobs. Every operations team member is benefited, carries equity, and is paid 20 to 50% above the industry average.","San Francisco, California, United States","Jul 1, 2011","Delivery, E-Commerce, Fast-Moving Consumer Goods,,","Good Eggs is an online grocer and meal kit delivery service with a mission to reinvent the food system, for good.","Mar 23, 2023",Venture - Series Unknown,"$7,000,000","Sequoia Capital, CircleUp, Google Ventures,,",$10M to $50M,—,"San Francisco Bay Area, West Coast,"
Amelia,—,1001-5000,Amelia is the enterprise's Trusted AI leader. Amelia has a proven track record of innovation in automation and Conversational AI as a pioneer in AI. Amelia's platform captures the rapid innovation of AI ecosystems and transforms them into enterprise-grade products that are ready for customer consumption. Amelia is used by businesses to increase revenue through conversational experiences and increase productivity through operations automation.,"New York, New York, United States",1998,"Artificial Intelligence, Information Technology,,,",Amelia's Trusted AI platform captures and transforms the rapid innovation of AI ecosystems.,"Mar 7, 2023",Private Equity,"$175,000,000","Monroe Capital, BuildGroup",—,—,"Greater New York Area, East Coast,"
Bambee,Yes,101-250,"Bambee is a platform that gives access to small and medium-sized businesses to hire an HR Manager. Bambee clients can hire an HR manager starting at just $99 a month, to help craft HR policy and understand compliance. Combined with HR Autopilot, Guided Payroll, and a free suite of powerful HR tools, SMBs can easily reach compliance. The company was founded on the idea that every business should have access to an affordable human resource manager and every business can run like a Fortune 500 company. The company was founded in 2016 and is based in Los Angeles, California.","Los Angeles, California, United States",Jun 2016,"Human Resources, Professional Services,,",Bambee is a platform offering an affordable solution to small and medium-sized businesses for hiring HR managers.,"Mar 16, 2022",Series C,"$30,000,000","Gaingels, SoftBank, Greycroft,,",$1M to $10M,"Black / African American Founded,","Greater Los Angeles Area, West Coast,"
Viz,—,251-500,"Viz helps physicians to identify anomalies in brain scans through machine learning. The company leverages advanced deep learning to communicate time-sensitive information about stroke patients straight to a specialist who can intervene and treat them. It uses deep learning algorithms to identify a suspected large vessel occlusion, a particularly disabling type of stroke, in a CT scan and alerts the stroke team specialist within minutes. Viz has developed deep learning algorithms to analyze brain scans for large vessel occlusions (LVOs), a disabling type of stroke. The company also allows the stroke center’s clinicians to rapidly share images back and forth. Viz's mission is to fundamentally improve how healthcare is delivered in the world, through intelligent software that promises to reduce the time to treatment and improve access to care. Viz was founded in 2016 and is based in San Francisco, California.","San Francisco, California, United States",2016,"Artificial Intelligence, Health Care,,,",Viz is a medical imaging company that provides an AI-based care coordination tool for disease detection and workflow optimization.,"Mar 22, 2023",Undisclosed,"$40,000,000","Google Ventures, Susa Ventures,,,",$1M to $10M,—,"San Francisco Bay Area, West Coast,"
Flare Therapeutics,—,1-10,"Flare Therapeutics is a biotechnology company opening up a new therapeutic space with a novel approach to decipher the biology of transcription factors to develop small molecule medicines. Based on insights from the seminal work of its scientific founders, Flare’s team has uncovered ‘switch sites,’ druggable regions that are key targets for transcription factor regulation to address mutations that cause disease. Its drug discovery to target switch sites has rapidly advanced, resulting in an emerging pipeline of drug programs that address well-validated transcription factors, initially focused on precision oncology with future potential in neurology, rare genetic disorders, immunology, and inflammation.","Cambridge, Massachusetts, United States",2021,"Biopharma, Biotechnology, Health Care,",Flare Therapeutics is a biotech startup that creates precision therapies for cancer and other disorders by targeting transcription factors.,"Mar 22, 2023",Series B,"$123,000,000","Novartis, Eli Lilly, Memorial Sloan - Kettering Cancer Center,,",Less than $1M,—,"Greater Boston Area, East Coast,"
Fuzzy,Yes,51-100,"Fuzzy is a subscription-based pet healthcare startup whose mission is to make pet care accessible, affordable, and delightful for every pet parent. Through a mobile application, Fuzzy connects pet parents to veterinarians, 24/7. The company also offers a service for direct mailing of medications, supplements, and food for dogs and cats. Founded in 2016, Fuzzy is based in San Francisco, California. Some of its early backers include Precursor Ventures, Eniac Ventures, Crosscut Ventures, SV Angel, FJ Labs, Accelerator Ventures, and Matrix Partners.","San Francisco, California, United States","Jan 1, 2016","mHealth, Pet, Subscription Service,",Fuzzy is a subscription-based pet healthcare startup making pet care accessible and affordable.,"Nov 22, 2021",Series C,"$44,000,000","Gaingels, Precursor Ventures,,,",Less than $1M,"Black / African American Founded,","San Francisco Bay Area, West Coast,"
StartEngine,—,51-100,"StartEngine is an equity crowdfunding platform that allows everyday people to invest and own shares in startups and early-stage companies. It is the largest equity crowdfunding platform in the US. Its mission is to help entrepreneurs achieve their dreams by democratizing access to capital. They have launched more Reg CF offerings than any other platform, have raised over $500M, and have successfully funded 500+ companies. The company was founded in 2014 in California.","Los Angeles, California, United States","Jan 1, 2014","Crowdfunding, Finance, Financial Services,,",StartEngine is an equity crowdfunding platform that allows everyday people to invest and own shares in startups and early-stage companies.,"Dec 10, 2021",Equity Crowdfunding,"$50,000,000","Pario Ventures, BAM Ventures,,,",$1M to $10M,—,"Greater Los Angeles Area, West Coast,"
Upstart,—,1001-5000,"Upstart is a lending platform that leverages artificial intelligence and machine learning to price credit and automates the borrowing process. The company's proprietary underwriting model identifies borrowers despite limited credit and employment history by using variables including schools attended, area of study, and work experience. Upstart powered banks can offer higher approval rates and experience lower loss rates*, while simultaneously delivering the exceptional digital-first lending experience their customers demand. Upstart was founded in 2012 and headquartered in San Mateo, California and Columbus, Ohio.","San Mateo, California, United States","Apr 1, 2012","Artificial Intelligence, Automotive,,,,,,,,",Upstart (NASDAQ: UPST) is a leading AI lending marketplace partnering with banks and credit unions to expand access to affordable credit.,"Apr 8, 2019",Series D,"$50,000,000","Rakuten, Google Ventures, Collaborative Fund,,",$100M to $500M,Women Founded,"San Francisco Bay Area, Silicon Valley,"
Grindr,Yes,51-100,"Grindr is an all-male location-based network that allows gay, bi, or curious men to connect and hang out with one another. Since launching in March 2009, Grindr has become a global sensation and surpassed 7 million users in 192 countries. On a daily basis, Grindr counts some 1.2 million users who log on approximately eight times per day and spend an average of two hours each day using the app. Grindr also offers a fully loaded, premium subscription-based service called Grindr Xtra. Grindr is currently available on the iPhone, iPod touch, iPad, Android and BlackBerry models. For more information about Grindr, visit www.Grindr.com. In 2011, Grindr launched Grindr for Equality, its social action division. Grindr for Equality works diligently to engage the Grindr network in a variety of ways to help bring about a more equal tomorrow. Initiatives include helping to promote a documentary on the conditions of the Jamaican LGBT community and driving donations and signatures for petitions to denounce anti-homosexuality policies in Turkey, Uganda, Ukraine and Russia.","West Hollywood, California, United States","Feb 3, 2008","Dating, LGBT, Location Based Services,","Grindr is a location-based social application for gay, bi, trans, queer people and other members of the LGBT community.","Nov 18, 2022",Post-IPO Equity,"$100,000,000",—,$10M to $50M,—,"Greater Los Angeles Area, West Coast,"
