Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Datadog,—,1001-5000,"Datadog is an essential monitoring platform for cloud applications. It brings together data from servers, containers, databases, and third-party services to make your stack entirely observable. These capabilities help DevOps teams avoid downtime, resolve performance issues, and ensure customers are getting the best user experience.","New York, New York, United States",2010,"Analytics, Cloud Computing, Cloud Data Services,,,",Datadog offers monitoring and analytics for cloud-based workflows.,"May 28, 2020",Post-IPO Debt,—,"Pario Ventures, IVP, RTP Global,,",$100M to $500M,—,"Greater New York Area, East Coast,"
Bayer,—,10001+,"Bayer is an enterprise with core competencies in the life science fields of healthcare and nutrition. They design their products and services to help people and the planet thrive by supporting efforts to address unprecedented challenges. Their businesses include pharmaceuticals, consumer health, and crop science. They focus on developing and commercializing products and solutions based on scientific knowledge.","Leverkusen, Nordrhein-Westfalen,",1863,"Biotechnology, Chemical, Health Care,,",Bayer is a life science company that specializes in the areas of health care and agriculture.,"Nov 8, 2022",Grant,"$12,000,000","Temasek Holdings, Bill & Melinda Gates Foundation",$10B+,—,European Union (EU)
Lambda,—,51-100,"Lambda is a deep learning infrastructure company, providing computation to accelerate human progress. Lambda provides GPU compute to some of the top deep learning research and engineering organizations in the world.","San Francisco, California, United States",2012,"Artificial Intelligence, Cloud Computing,,,,","Lambda designs servers, workstations, and laptops for deep learning.","Mar 21, 2023",Series B,"$44,000,000","Silicon Valley Bank, Razer, 1517 Fund,,",$1M to $10M,—,"San Francisco Bay Area, West Coast,"
QurAlis,—,11-50,QurAlis is a clinical-stage biotechnology company that is developing precision medicines with genetically validated targets for amyotrophic lateral sclerosis (ALS) and other neurodegenerative diseases. Its proprietary platforms and biomarkers allow for the design and development of drugs that target disease-causing genetic alterations directly.,"Cambridge, Massachusetts, United States","Dec 12, 2016","Biotechnology, Genetics, Health Care,",QurAlis is a biotechnology company that creates precision medicine solutions to cure ALS and FTD.,"Mar 9, 2023",Series B,"$88,000,000","Mission BioCapital, Alexandria Venture Investments,,,",$1M to $10M,—,"Greater Boston Area, East Coast,"
Spreetail,Yes,501-1000,"Spreetail is a global ecommerce accelerator that offers logistics and channel management to manufacturers. It has seven fulfillment centers in the United States and expanded internationally in 2018. Spreetail works with over 500 brands to help them accelerate their e-commerce sales across global marketplaces like Amazon, Target.com, Wayfair, Walmart.com, eBay, and many more. Spreetail uses efficient tech-based analytics, insights, and logistics to help brands sell products quickly in e-commerce.","Lincoln, Nebraska, United States",2006,"E-Commerce, Information Technology,,,",Spreetail is a global ecommerce accelerator that provides manufacturers with logistics and channel management.,"Feb 23, 2023",Private Equity,"$208,000,000","McCarthy Capital, Moelis & Company",$10M to $50M,—,Midwestern US
Pindrop,—,101-250,"Pindrop is propelling enterprises and consumers toward a voice-driven future by unlocking the value of every voice interaction. Interacting with a financial institution, a digital assistant, a video chat, or a smart device can provide access to our unique identity, and open new capabilities not possible without proper security or intelligence evoked solely from a voice.","Atlanta, Georgia, United States",2011,"Audio, Cyber Security, Fraud Detection,,,",Pindrop uses AI-based IVR authentication and anti-fraud solutions to increase efficiency in call centers and stop fraudulent transactions.,"Dec 12, 2022",Venture - Series Unknown,"$4,999,985","Andreessen Horowitz, Goldman Sachs,,,",$50M to $100M,"Black / African American Founded,","Greater Atlanta Area, East Coast,"
Thermo Fisher Scientific,—,10001+,"Thermo Fisher Scientific is a provider of laboratory information management and scientific data systems. It aims to enable its customers to make the world healthier, cleaner, and safer. Whether its customers are accelerating life sciences research, solving complex analytical challenges, improving patient diagnostics and therapies, or increasing productivity in their laboratories, they are here to support them. Its global team delivers an unrivaled combination of innovative technologies, purchasing convenience, and pharmaceutical services through our industry-leading brands, including Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific, Unity Lab Services, and Patheon.","Waltham, Massachusetts, United States",1956,"Bioinformatics, Biotechnology,,,,",Thermo Fisher Scientific is a provider of laboratory information management and scientific data systems.,"Mar 27, 2023",Grant,"$500,000",National Grid,$10B+,—,"Greater Boston Area, East Coast,"
NIO,Yes,5001-10000,"NIO Inc. is a pioneer in China’s premium smart electric vehicle market. NIO’s mission is to shape a joyful lifestyle by offering premium smart electric vehicles and being the best user enterprise. NIO designs, jointly manufactures, and sells smart and connected premium electric vehicles, driving innovations in next generation technologies in connectivity, autonomous driving and artificial intelligence. Redefining the user experience, NIO provides users with comprehensive, convenient and innovative charging solutions and other user-centric services. NIO began deliveries of the ES8, a 7-seater high-performance premium electric SUV in China in June 2018, and its variant, the six-seater ES8, in March 2019. NIO officially launched the ES6, a 5-seater high-performance premium electric SUV, in December 2018 and began deliveries in June 2019. NIO officially launched the EC6, a 5-seater smart premium electric Coupe SUV, in December 2019 and plans to commence deliveries in 2020.","Shanghai, Shanghai, China",Nov 2014,"Automotive, Autonomous Vehicles,,,",NIO is an automotive company that designs and develops electric autonomous vehicles.,"Apr 29, 2020",Post-IPO Equity,"$1,000,000,000","Tencent, Lenovo, TPG, Shunwei Capital,",$500M to $1B,—,Asia-Pacific (APAC)
Mitiga,—,11-50,Mitiga is the cloud-based solution for Incident Readiness and Response in the cloud and hybrid environments.,"Tel Aviv, Tel Aviv, Israel","Aug 1, 2019","Cloud Security, Cyber Security,,",Mitiga is the cloud-based solution for Incident Readiness and Response in cloud and hybrid environments.,"Mar 14, 2023",Series A,"$13,000,000","Samsung NEXT, ClearSky, Blackstone Group,,",—,—,—
Cleveland Clinic,—,1001-5000,"Cleveland Clinic is a non-profit academic medical center that integrates clinical and hospital care with research and education. The mission of Cleveland Clinic is to provide better care for the sick, investigation into their problems, and further education of those who serve. In 2008, Cleveland Clinic became the first healthcare provider in the United States to become a signatory to the United Nations Global Compact and the second in the world.","Cleveland, Ohio, United States",1921,"Health Care, Hospital, Medical,",Cleveland Clinic is a non-profit medical center that combines clinical and hospital care with research and education.,"Feb 21, 2023",Grant,"$3,140,000","National Institutes of Health, U.S. Department of Defense,,,",$1B to $10B,—,"Great Lakes, Midwestern US"
PointClickCare,—,1001-5000,"PointClickCare's web-based products and services are uniquely designed to help long-term care providers manage the complete lifecycle of resident care. The company serves over 5,000 facilities throughout North America, from single-home independent facilities to seven of the ten largest operators. PointClickCare's SaaS offering seamlessly integrates clinical, billing, and administrative processes to maximize reimbursements, enhance the quality of care, improve operating efficiencies and increase staff productivity and satisfaction.","Mississauga, Ontario, Canada",1995,"Elder Care, Enterprise Software,,,,",PointClickCare develops web-based products and services to help long-term care providers manage the complete lifecycle of resident care.,"Apr 1, 2022",Secondary Market,—,"JMI Equity, Hellman & Friedman,",$50M to $100M,—,Great Lakes
Orange,—,10001+,"Orange is a digital operator that offers mobile and internet services in Europe and Africa, and corporate telecommunication services worldwide. The group operates under the brand name Orange Business Services (OBS), both in France and internationally, in the business communication and IT services markets. Orange Business Services offers a range of services to large corporates, local authorities, and SMEs in France, as well as to multinationals around the world, supporting the implementation of their communication projects. To do so, OBS offers a full range of voice and data, IT, and integrated services. The Orange Fabs is an international network of startup drivers that provides startups in the digital space with advice, training, and events, as well as resources and expertise. Orange was founded in 1991 and is headquartered in Paris, France with presence in 30 countries.","Paris, Ile-de-France, France","Jan 1, 1991",—,"Orange is a digital operator that offers mobile and internet services in Europe and Africa, and corporate telecommunication services.","Feb 14, 2023",Post-IPO Debt,"€500,000,000",European Investment Bank,$10B+,—,European Union (EU)
Provention Bio,—,101-250,"Provention Bio is a clinical-stage biopharmaceutical company dedicated to sourcing, developing, and commercializing novel therapeutics and cutting-edge solutions to intercept and prevent immune-mediated disease. Their predict and prevent model is focused on developing novel therapeutic approaches that intervene before the target disease begins, re-appears, or progresses. Provention Bio offers the potential to reduce the high morbidity, mortality, patient suffering, and escalating costs of chronic autoimmune and inflammatory diseases, such as type 1 diabetes (T1D), Crohn’s disease, ulcerative colitis, and emerging viral infections. They believe Provention’s business model, coupled with its expertise in translational medicine, immunology, and the design and execution of rapid go/no-go clinical trials, will enable them to in-license and efficiently partner both early-stage development assets and more advanced clinical-stage opportunities.","Red Bank, New Jersey, United States","Oct 4, 2016","Biotechnology, Health Care, Pharmaceutical,","Provention Bio is a clinical stage biopharmaceutical dedicated to sourcing, developing, and commercializing novel therapeutics.","Feb 13, 2023",Post-IPO Equity,"$35,000,000","Sanofi, Hercules Capital, Johnson & Johnson Innovation,,",$500M to $1B,Hispanic / Latine Founded,"Greater New York Area, East Coast,"
Nordstrom,—,10001+,"Nordstrom operates as a fashion specialty retailer that offers apparel, shoes, cosmetics, and accessories for women, men, and children in the United States. It features a selection of brand names and private label merchandise. The company sells its products through various channels, including Nordstrom full-line stores, Nordstrom Rack off-price stores, Last Chance clearance stores, and Jeffrey boutiques; and through catalogs and the Internet. The company also provides a private label card, two Nordstrom VISA credit cards, and a debit card for Nordstrom purchases. Its credit and debit cards feature a shopping-based loyalty program. Nordstrom also designs and contracts to manufacture private-label merchandise sold in its retail stores.","Seattle, Washington, United States",1901,"E-Commerce, Fashion, Retail",Nordstrom is an online fashion retailer that offers a selection of brand names and private label merchandise.,"Feb 3, 2023",Post-IPO Equity,—,"Ryan Cohen, El Puerto de Liverpool",$1B to $10B,—,"Greater Seattle Area, West Coast,"
Birchbox,—,101-250,"Launched in 2010, Birchbox is the discovery commerce platform redefining the retail process by offering consumers a personalized way to discover, sample, shop, and learn about the best products and brands available. Birchbox members have first-touch experiences with products each month and access to educational content to help them get the most out of their products. Top brands like Kiehl’s, Benefit, Deborah Lippmann, and Stila have partnered with Birchbox.","New York, New York, United States",2010,"Beauty, E-Commerce, E-Commerce Platforms,",Birchbox is a New York-based online subscription service that specializes in makeup and other beauty related products.,"Apr 20, 2020",Series D,"$10,270,831","Accel, Lerer Hippeau, First Round Capital,,",$100M to $500M,"Hispanic / Latine Founded, Hispanic / Latine Led,,","Greater New York Area, East Coast,"
Xero,Yes,1001-5000,"Xero is a suite of online accounting software for small businesses, accountants, and bookkeepers. It enables its users to track and manage cash flow processes, invoicing, payments, reporting, and pay runs. Users can use Xero through any one of its three monthly subscription packages: starter, standard, and premium. The software solution is available on iOS and Android platforms. Xero was founded in 2006, the company is headquartered in Wellington, Wellington, New Zealand.","Wellington, Wellington, New Zealand","Jul 1, 2006","Accounting, Billing, FinTech, Personal Finance,,","Xero is a suite of online accounting software for small businesses, accountants, and bookkeepers.","Sep 26, 2018",Post-IPO Debt,"$300,000,000","Accel, Founders Fund, Matrix Capital Management,,",$100M to $500M,—,"Asia-Pacific (APAC), Australasia"
C3 AI,—,501-1000,"C3 AI (NYSE:AI) is a provider of Enterprise AI software for accelerating digital transformation. C3 AI delivers a family of fully integrated products: C3 AI® Suite, an end-to-end platform for developing, deploying, and operating large-scale AI applications; C3 AI Applications, a portfolio of industry-specific SaaS AI applications; C3 AI CRM, a suite of industry-specific CRM applications designed for AI and machine learning; and C3 AI Ex Machina, a no-code AI solution to apply data science to everyday business problems. The core of the C3 AI offering is an open, model-driven AI architecture that dramatically simplifies data science and application development. Learn more at: www.c3.ai","Redwood City, California, United States","Jan 1, 2009","Artificial Intelligence, Enterprise Software,,,",C3 AI is a provider of Enterprise AI software for accelerating digital transformation.,"Mar 28, 2018",Series F,"$105,868,587","Jacobs, Breyer Capital, The Rise Fund,,",$100M to $500M,Women Founded,"San Francisco Bay Area, Silicon Valley,"
Farfetch,—,1001-5000,"Farfetch operates an e-commerce website that unites various independent fashion boutiques. It offers bags, coats, dresses, jackets, jewellery, swimwear, trouser, shoes, knitwear, suits, shorts, and accessories. They operate a modular end-to-end technology platform purpose built to connect the luxury fashion ecosystem worldwide. Their vision was to create a single operating system that could address the complex demands of consumers and luxury sellers alike. Their platform is built on an API-enabled proprietary technology stack, which provides the foundation for the three main components: applications, services and data. Farfetch serves women, men, and kids. Jose Neves founded the company in 2008, with its headquarters in London, United Kingdom.","London, England, United Kingdom",Jun 2007,"E-Commerce, Fashion, Internet,",Farfetch is an online luxury fashion retail platform.,"Nov 5, 2020",Post-IPO Equity,"$600,000,000","Tencent, Eurazeo, Alibaba Group,,",$500M to $1B,—,—
Axiom Space,—,501-1000,"Axiom Space is the builder, owner, and operator of the commercial space station modules connected to the International Space Station (ISS). The company's Low Earth Orbit platform access and decades of human spaceflight management experience support the research, testing of exploration-enabling technologies, and in-space manufacturing that creates new opportunities for advanced industries, governments, and educators and enable future human space exploration. Axiom provides universal access to the ISS by carrying out missions for a crew of national and private astronauts as well as for clients in the research and manufacturing sector, enabling space travelers to have access to various space initiatives and foster further possibilities. The company is backed by C5 Capital, TQS Advisors, Declaration Partners, Moelis Dynasty Investments, Washington University in St. Louis, The Venture Collective, Aidenlair Capital, Hemisphere Ventures, and Starbridge Venture Capital. Kam Ghaffarian and Michael Suffredini established the Houston, Texas-headquartered aviation and aerospace company in 2016.","Houston, Texas, United States",2016,"Advanced Materials, Aerospace,,",Axiom Space is a commercial space station company that builds a thriving home in space for the benefit of every human.,"Dec 22, 2022",Series C,"$50,000,000","Alumni Ventures, Sand Hill Angels,,,",$1M to $10M,—,"Greater Houston Area, Southern US"
Ulu Ventures,—,11-50,"Ulu Ventures is a leading seed-stage venture fund in Silicon Valley investing in diverse entrepreneurial teams as well as Enterprise IT, EdTech, FinTech, Healthcare, and Sustainability startups. Ulu is the first Latina-led venture fund in Silicon Valley and is one of the largest in the country with over $200M in assets under management. As well, the firm has designed its investment process to reduce risk and produce better, more consistent returns. Ulu’s process structures intuition and applies it intelligently to investments, avoiding cognitive biases common in VC; systematically identifies key drivers of risk and uncertainty, streamlining due diligence; and calculates a probability-weighted multiple(PWM) on invested capital, ensuring consistent decision-making.","Palo Alto, California, United States",2008,"Financial Services, FinTech, Information Technology,","Ulu Ventures is a leading seed-stage venture fund investing in diverse teams as well as Enterprise IT, FinTech, and Deep Tech startups.",—,—,—,—,$1M to $10M,"Black / African American Led,,,,","San Francisco Bay Area, Silicon Valley,"
HelloFresh,—,10001+,"HelloFresh is a food subscription company that sends pre-portioned ingredients to users’ doorstep each week. It enables anyone to cook quick and healthy meals designed by nutritionists and chefs. HelloFresh aims to provide each and every household in its 10 markets with the opportunity to enjoy wholesome home-cooked meals with no planning, no shopping, and no hassle required. Their subscription business model with regular delivery enables them to fundamentally change the way consumers shop for food and to develop new ways people prepare and consume meals, changing the traditional food supply chain. HelloFresh is at the forefront of disrupting a multitrillion dollar industry at the very beginning of its online transition.","Berlin, Berlin, Germany",2011,"Delivery Service, Food and Beverage,,",HelloFresh is a food subscription company that sends pre-portioned ingredients to users’ doorstep each week.,"Dec 20, 2016",Series G,"€85,000,000","Rocket Internet, Insight Partners,,,",$100M to $500M,—,European Union (EU)
Tome,—,1-10,"Tome is a productivity tool that provides an AI-powered storytelling format for transforming ideas into visually appealing narratives. When a user types in a prompt, Tome generates entire narratives from scratch or creates additional content pages within seconds. Tome gives designers the ability to produce complete visual narratives with clever layouts, writing, and images from a single prompt.","San Francisco, California, United States",2020,"Artificial Intelligence, Information Technology,,","Tome is an AI-powered, storytelling productivity tool that helps users transform ideas into visually appealing narratives.","Feb 21, 2023",Series B,"$43,000,000","500 Global, 8VC, Lightspeed Venture Partners,,",—,—,"San Francisco Bay Area, West Coast,"
Insider,Yes,1001-5000,"Insider is a Growth Management Platform (GMP) helps digital marketers drive growth across the funnel, from Acquisition to Activation, Retention, and Revenue. They leveraging real-time predictive segmentation powered by deep Artificial Intelligence and Machine Learning capabilities, GMP empowers marketers to deliver personalized journeys across the web, mobile web, mobile apps, and ad channels. Built on a unified data layer, GMP is easy to implement and simple to use, avoiding the need for complex integrations and dependency on IT teams. Insider simplifies the life of digital marketers and helps them drive growth for their brands, with zero marketing waste. The company combines personalization, data and decision-making engines into one platform to help you orchestrate consistent brand experiences across channels and bridge the gap between online and offline. The AI and ML-powered engine are tailored to solve marketing problems optimizing Return on Ad Spend (ROAS), driving conversions and improving product discovery and generating insights that can turbocharge your personalization program. Insider is a technology company with offices in London, Singapore, Tokyo, Dubai, Moscow, Warsaw, Kuala Lumpur, Jakarta, Istanbul, Kiev, Sydney, Seoul, Ho Chi Minh City, Bangkok, Hong Kong, and Taipei. Insider was listed as one of the 100 Hottest Startups by WIRED Magazine and won Red Herring Top 100 Europe in 2017. Cb has recently ranked Insider’s co-founder and CEO Hande Cilingir as one of the top three women CEOs outside of the US.","Singapore, Central Region, Singapore",2012,"Analytics, Artificial Intelligence,,,","Insider enables marketers to connect customer data across channels, predict behavior with AI, and individualize cross-channel experiences.","Feb 28, 2022",Series D,"$121,000,000","500 Global, Sequoia Capital, Riverwood Capital,,",—,—,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN),"
Abound,—,11-50,"Abound is a consumer lending financial firm that provides personal loans. The company was established with the goal of providing low-cost, ethical, and adaptable lending solutions that serve the needs of borrowers and their long-term financial stability. By offering an improved approach to personal lending, the Abound team is committed to assisting customers in improving their financial lives.","London, England, United Kingdom",Feb 2020,"Consumer Lending, Financial Services,,",Abound is a consumer lending financial firm that provides personal loans.,"Mar 6, 2023",Venture - Series Unknown,"£500,000,000","Citi, GSR Ventures, Waterfall Asset Management,,",—,—,—
Roche,—,10001+,"Roche is a pharmaceutical and diagnostics company that focused on improving people’s lives. Roche is the owner of F. Hoffmann-La Roche Ltd. Roche is a provider of in-vitro diagnostics and drugs for cancer and transplantation. It specializes in medicines for oncology, virology, inflammation, metabolism, CNS, clinical chemistry, immunology, urinalysis, blood screening, genetics, infectious diseases, and microbiology. F. Hoffmann-La Roche Ltd. serves hospitals, research labs, private medical labs, practicing physicians, and patients. Its products include cancer treatments, such as Avastin, Herceptin, and MabThera which are also effective in the treatment of rheumatoid arthritis, anemia, and osteoporosis. F. Hoffmann-La Roche Ltd. also conducts research and development as well as production related to molecular diagnostic reagents, test systems, and test kits. In addition, it provides automated instruments, software, consumables, and IT solutions used in in-vitro diagnostics and research.","Basel, Basel-Stadt, Switzerland","Jan 15, 1896","Biotechnology, Health Care, Health Diagnostics,",Roche is a pharmaceutical and diagnostics company that focuses on improving people’s lives.,"Aug 4, 2021",Post-IPO Equity,"$5,000,000,000","Novartis, SoftBank, SCALE AI",$10B+,—,—
Siren,—,11-50,"Siren is a complete investigation solution, safeguarding people, assets, and networks. Siren fuses data from open source, vendor, and classified sources allowing analysts and investigators to analyze risks, threats, and crimes for National Security, Public Safety, Fraud and Compliance, and Cyber Threat communities. Siren’s patented technology is uniquely search based providing the user with easy-to-use search, analytics, visualization, and reporting capabilities for investigations on all data types at all scales of data volume. In November 2022, Siren was included in the Deloitte Technology Fast 50. Siren was named a Gartner Cool Vendor in an Analytics and Data Science Report in 2020.","Galway, Galway, Ireland",2014,"Analytics, Big Data, Data Visualization,,,","Siren offers an Investigative Intelligence Platform that facilitates search, business intelligence, and information gathering.","Feb 23, 2023",Debt Financing,"€12,000,000","European Investment Bank, Enterprise Ireland,,,",$1M to $10M,—,European Union (EU)
U.S. Department of Education,—,1001-5000,"The U.S. Department of Education is the agency of the federal government that establishes policy for, administers and coordinates most federal assistance to education. It assists the president in executing his education policies for the nation and in implementing laws enacted by Congress. The Department's mission is to serve America's students-to promote student achievement and preparation for global competitiveness by fostering educational excellence and ensuring equal access. In 2007-08, the Department's elementary and secondary school programs served approximately 55 million students (pre-K through grade 12) attending some 100,000 public schools and 34,000 private schools. Department programs also provided grant, loan and work-study assistance to about 10 million undergraduate students. * When Congress created the Department in 1979, it declared these purposes: to strengthen the Federal commitment to ensuring access to equal educational opportunity for every individual; to supplement and complement the efforts of States, the local school systems and other instrumentalities of the States, the private sector, public and private educational institutions, public and private nonprofit educational research institutions, community-based organizations, parents, and students to improve the quality of education; to encourage the increased involvement of the public, parents, and students in Federal education programs; to promote improvements in the quality and usefulness of education through federally supported research, evaluation, and sharing of information; to improve the coordination of Federal education programs; to improve the management and efficiency of Federal education activities, especially with respect to the process, procedures, and administrative structures for the dispersal of Federal funds, as well as the reduction of unnecessary and duplicative burdens and constraints, including unnecessary paperwork, on the recipients of Federal funds; and to increase the accountability of Federal education programs to the President, the Congress and the public. (Section 102, Public Law 96-88)","Washington, District of Columbia,",1980,"Education, Government",U.S. Department of Education promotes students' achievement and preparation for competitiveness and ensures equal access.,"Sep 30, 2016",Grant,"$245,000,000",—,$10B+,—,"Washington DC Metro Area, Southern US"
eFishery,—,1001-5000,"eFishery is an internet of things startup for fish/shrimp farming. The company builds technology solutions from smart feeding, cloud-based dashboard, and data platform to help the fish/shrimp farmers to grow their business sustainably. eFishery is trying to solve the biggest problem from one of the most crucial and fastest-growing industries in the world: aquaculture.","Bandung, Jawa Barat, Indonesia",2013,"Agriculture, AgTech, Aquaculture,,",eFishery is an agtech company that offers an integrated feeding solution for fish and shrimp farming.,"Mar 3, 2023",Series D,"$150,000,000","500 Global, International Finance Corporation,,,",—,—,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN),"
Cowbell Cyber,Yes,101-250,"Cowbell is a leader in cyber insurance for small and medium-sized enterprises (SMEs), providing adaptive cyber insurance with coverage that evolves with today's and tomorrow's threats. Cowbell's cyber policies are bundled with cyber risk resources that allow policyholders to continuously improve their cyber risk profile and prevent cyber incidents. In its unique AI-based approach to risk selection and pricing, Cowbell's continuous underwriting platform, powered by Cowbell Factors, compresses the insurance process from submission to issue to less than 5 minutes. Cowbell is backed by 15 AM Best A- or higher rated (re)insurance partners and serves SMEs in 50 U.S. states and the District of Columbia. Cowbell Insurance Agency is currently licensed in 50 U.S. states and the District of Columbia. Cowbell Reinsurance Company is a licensed insurance captive in the State of Vermont. For more information, please visit www.cowbell.insure Cowbell Cyber was founded in 2019 and is based in Pleasanton, California, United States.","Pleasanton, California, United States","Jan 3, 2019","FinTech, Insurance, InsurTech",Cowbell provides Adaptive Cyber Insurance to small to medium-sized enterprises.,"Mar 15, 2022",Series B,"$100,000,000","Permira, Anthemis Group, Holmes Murphy & Associates,,",$10M to $50M,—,"San Francisco Bay Area, West Coast,"
