Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Startup Wise Guys,—,51-100,"Startup Wise Guys is one of the most active early stage investors in the broader CEE region and Nordics, has been voted Top VC fund in the CEE in year 2019. To help techy startup founders become true entrepreneurs, we are running a world-class startup accelerator since 2012. We have accelerated more than 300 startups, focusing on Sustainability, B2B SaaS, Fintech, Cybersecurity, and XR. The portfolio has already had 11 major exits and the overall startup survival and success rate is above 80%. The intensive up to 5 months-long accelerator program is focused on validating, developing, and selling products to business customers. Over 200 international and local mentors help startups move through those stages much faster than they would on their own. Founders are also prepared to sell their vision to investors, and the program culminates in Demo Days & major tech event visits, where startups get to present to venture capitalists and angel investors. Post-program, startups join the alumni community of 300+ startups in more than 40 countries and become eligible for invite-only alumni events such as SWG Getaway focused on business development, fundraising, and experience sharing.","Tallinn, Harjumaa, Estonia",2012,"Augmented Reality, B2B, Cyber Security,,,,",Startup Wise Guys is a B2B startup accelerator.,"Jan 1, 2019",Undisclosed,"€8,800,000",European regional development fund (ERDF),Less than $1M,—,European Union (EU)
Netflix,—,10001+,"Netflix is an online platform that enables users to watch TV shows and movies on smart TVs, gaming consoles, PCs, Macs, mobiles, tablets, and so on. It provides its services under three segments: international streaming, domestic streaming, and domestic DVD. The network enables members to access and view more than one billion hours of TV shows and movies per month, including Netflix's original series. Members can play, pause, and resume watching its content without commercial breaks or commitments. The company also provides DVDs-by-mail membership services. Netflix was founded in 1997 by Mitch Lowe, Reed Hastings, and Marc Randolph, and is headquartered in Los Gatos, California.","Los Gatos, California, United States","Jan 1, 1997","Digital Entertainment, Media and Entertainment,,",Netflix is an online streaming platform that enables users to watch TV shows and movies.,"May 5, 2018",Post-IPO Debt,"$2,666,198","IVP, Foundation Capital, WS Investments,,",$10B+,—,"San Francisco Bay Area, Silicon Valley,"
Amazon,—,10001+,"Amazon is an international e-commerce website for consumers, sellers, and content creators. It offers users merchandise and content purchased for resale from vendors and those offered by third-party sellers. Operating in North American and International markets, Amazon provides its services through websites such as amazon.com and amazon.ca. It also enables authors, musicians, filmmakers, app developers, and others to publish and sell content via its branded websites. Amazon also provides Kindle Direct Publishing, an online platform that allows independent authors and publishers to make their books available in the Kindle Store. In addition, it provides co-branded credit card agreements and advertising services, serves developers and enterprises through Amazon Web Services, and manufactures and sells electronic devices. It offers Amazon Prime which is an annual membership program. It provides free shipping, streaming, and access to books to borrow and read on a Kindle device. The company was founded in 1994 and is headquartered in Seattle, Washington.","Seattle, Washington, United States","Jul 5, 1994","Crowdsourcing, Delivery, E-Commerce,","Amazon is an e-commerce website for consumers, sellers, and content creators.","Jan 3, 2023",Post-IPO Debt,"$8,000,000,000","Kleiner Perkins, DBS Bank, AOL,",$10B+,—,"Greater Seattle Area, West Coast,"
Moderna,Yes,1001-5000,"Moderna Therapeutics is a biotechnology company that develops messenger RNA therapeutics. Every cell in the body uses mRNA to provide real-time instructions to make the proteins necessary to drive all aspects of biology, including in human health and disease. It provides in vivo drug modality that produces human proteins or antibodies inside patient cells. Moderna Therapeutics also develops various patent applications with various claims ranging from novel nucleotide chemistries to specific drug compositions. It focuses on disease areas, such as inherited genetic disorders, hemophilia, and blood factors, and oncology. Moderna Therapeutics in 2010 and is headquartered in Cambridge in Massachusetts. It has strategic option agreements with AstraZeneca and Alexion Pharmaceuticals and strategic collaborations with Karolinska Institutet, Institut Pasteur, Karolinska University Hospital, and Merck.","Cambridge, Massachusetts, United States",2010,"Biotechnology, Genetics, Health Care,,",Moderna Therapeutics is a biotechnology company that specializes in drug discovery and drug development based on messenger RNA.,"Oct 12, 2022",Post-IPO Equity,"$250,000,000","AstraZeneca, RA Capital Management,,,",$100M to $500M,—,"Greater Boston Area, East Coast,"
Physics Wallah,—,1001-5000,"PhysicsWallah aims at providing quality content to every child for free. Live classes, video lectures, test series, lecture notes, topic-wise assignments with best questions, dynamic exercises, and much more. Almost 90% content on this App is free and will always be.","Noida, Uttar Pradesh, India",2014,"E-Learning, EdTech, Education,","Physics Wallah offers live classes, video lectures, test series, and dynamic exercises for JEE, NEET entrance, and board exams.","Jun 7, 2022",Series A,"$100,000,000","Westbridge Capital, GSV Ventures",$50M to $100M,—,Asia-Pacific (APAC)
Signature Bank,—,1001-5000,"Signature Bank, member FDIC, is a New York-based full-service commercial bank with 27 private client offices throughout the New York metropolitan area. The Bank’s growing network of private client banking teams serves the needs of privately owned businesses, their owners, and senior managers. Signature Bank offers a wide variety of business and personal banking products and services. The Bank operates Signature Financial, LLC, a specialty finance subsidiary focused on equipment finance and leasing, transportation financing, and taxi medallion financing. Investment, brokerage, asset management, and insurance products and services are offered through the Bank’s subsidiary, Signature Securities Group Corporation, a licensed broker-dealer, investment adviser, and member FINRA/SIPC. Since commencing operations in May 2001, the Bank has grown to $23.1 billion in assets, $18.3 billion in deposits, $1.91 billion in equity capital, and $1.99 billion in other assets under management as of March 31, 2014. Signature Bank's Tier 1 and risk-based capital ratios are significantly above the levels required to be considered well-capitalized.","New York, New York, United States",2001,"Banking, Finance, Financial Services",Signature Bank is a New York-based full-service commercial bank that offers business and personal banking products and services.,"Dec 10, 2020",Post-IPO Equity,"$708,000,000",—,$1B to $10B,—,"Greater New York Area, East Coast,"
Bitget,Yes,501-1000,"Bitget is one of the world’s leading cryptocurrency exchanges with a core focus on social trading. Currently serving over two million users in more than 50 countries around the world, Bitget accelerated its mission to promote decentralized finance with a 600-strong workforce. Since Bitget’s official launch in the crypto derivatives market in June 2019, the platform has now become one of the world’s largest crypto copy trading and derivatives exchanges and is ranked in the top five globally by CoinMarketCap and CoinGecko for derivatives trading by volume. The leading exchange focuses on transforming the way people connect and trade with social trading. Its flagship offering, One-Click Copy Trade, is nothing short of a pioneer in social trading and has amassed over 55,000 professional traders, with approximately 1.1 million followers, innovating the experience for crypto derivatives traders worldwide.","Singapore, Central Region, Singapore",2018,"Cryptocurrency, Financial Services,",Bitget is a crypto derivatives exchange platform that delivers comprehensive and secure trading solutions.,"Dec 10, 2018",Corporate Round,"$10,000,000","8 Decimal Capital, MX Capital,,",—,—,"Asia-Pacific (APAC), Association of Southeast Asian Nations (ASEAN),"
Nothing,—,251-500,"Nothing is a consumer tech company that develops digital technology to connect products and services. The company's digital technology is used to remove barriers between people and technology. It also develops a pair of wireless headphones as well as a suite of smart, connected consumer electronics that help clients to bring back artistry, passion, and trust to the field of consumer technology. Nothing was co-founded in 2020 by Carl Pei and Akis Evangelidis and it is headquartered in London, England.","London, England, United Kingdom",2020,"Consumer, Consumer Electronics,,",Nothing is a consumer tech company that develops a digital technology to connect products and services.,"Apr 5, 2022",Equity Crowdfunding,"€6,345,579","Animoca Brands, Google Ventures,,,",—,—,—
Lyft,—,5001-10000,"Lyft designs, markets, and operates a mobile application that matches drivers with passengers who request rides, and also allows payment through the app. It also allows riders to schedule rides up to seven days in advance. Its services are primarily focused on college, university, and corporate communities. Lyft is a fast-growing ridesharing company in the U.S. and is available to 95 percent of the US population. Lyft was founded in June 2012 by Logan Green and John Zimmer in San Francisco, California.","San Francisco, California, United States","May 22, 2012","Apps, Mobile Apps, Ride Sharing,,","Lyft designs, markets, and operates a mobile application that matches drivers with passengers who request rides.","Feb 1, 2021",Post-IPO Equity,—,"Tencent, Alibaba Group, Rakuten,,",$1B to $10B,—,"San Francisco Bay Area, West Coast,"
Qualtrics,—,1001-5000,"Qualtrics is a single system of record for all experience data, also called X-data, allowing organizations to manage the four core experiences of business—customer, product, employee, and brand experiences—on one platform. Over 8,500 enterprises worldwide, including more than 75 percent of the Fortune 100 and 99 of the top 100 U.S. business schools, rely on Qualtrics.","Provo, Utah, United States",2002,"Consumer, Data Integration, Market Research,","Qualtrics is a single system of record for all experience data, managing customer, product, employee, and brand experiences on one platform.","Apr 12, 2017",Series C,"$180,000,000","Sequoia Capital, Accel, Insight Partners",$500M to $1B,—,Western US
Sanofi,—,10001+,"Sanofi offers research, development, manufacturing, and marketing of innovative therapeutic solutions. It covers areas such as diabetes solutions, human vaccines, innovative drugs, consumer healthcare, emerging markets, animal health, and the new G enzyme.","Bridgewater, New Jersey, United States",2004,"Health Care, Life Science, Pharmaceutical,",Sanofi is a healthcare company that provides treatments and the protection of life-saving vaccines.,"Mar 15, 2022",Post-IPO Equity,"€300,000,000","Evotec, Blackstone Life Sciences",$10B+,—,"East Coast, Northeastern US"
Coinbase,—,1001-5000,"Coinbase is an online platform that allows merchants, consumers, and traders to transact with digital currency. It allows its users to create their own bitcoin wallets and start buying or selling bitcoins by connecting with their bank accounts. Also, it provides a series of merchant payment processing systems and tools that support many highly-trafficked websites on the internet. Coinbase was launched in 2012 with a mission to create an open financial system for the world. It is operated from San Francisco, California.","San Francisco, California, United States",2012,"Bitcoin, Blockchain, Cryptocurrency,,","Coinbase is an online platform that allows merchants, consumers, and traders to transact with digital currency.","Nov 9, 2022",Post-IPO Equity,"$21,400,000","Andreessen Horowitz, Y Combinator,,,",$1B to $10B,—,"San Francisco Bay Area, West Coast,"
Brex,—,1001-5000,"Brex is a spend platform that includes corporate cards, cost management, reimbursements, and bill pay all in one place. Brex makes it easy for finance teams and founders to manage every aspect of global spend at scale by empowering their employees anywhere to make better financial decisions. Brex proudly serves tens of thousands of businesses, from enterprises to startups.","San Francisco, California, United States",Mar 2017,"Banking, Credit Cards, Financial Services,","Brex is a spend platform that includes corporate cards, cost management, reimbursements, and bill pay.","May 18, 2022",Series D,—,"Credit Suisse, Y Combinator, Tiger Global Management,,",$100M to $500M,"Hispanic / Latine Founded, Hispanic / Latine Led","San Francisco Bay Area, West Coast,"
Meta,—,10001+,"Meta is a social technology company that enables people to connect, find communities, and grow businesses. Previously known as Facebook, Mark Zuckerberg announced the company rebrand to Meta on October 28, 2021 at the company's annual Connect Conference. Facebook was founded by Mark Zuckerberg in Menlo Park, California in 2004. With millions of more users, [Friendster] attempted to acquire the company for $10 million in mid-2004. Facebook turned down the offer and subsequently received $12.7 million in funding from [Accel Partners] at a valuation of around $100 million. Facebook continued to grow opening up to high school students in September 2005 and adding a photo-sharing feature the next month. The next spring, Facebook received $25 million in funding from [Greylock Partners] and [Meritech Capital] as well as previous investors [Accel Partners] and [Peter Thiel]. The pre-money valuation for this deal was about $525 million. Facebook subsequently opened up to work networks eventually amassing over 20,000 work networks. Finally, in September 2006, Facebook was opened to anyone with an email address. Facebook continued to receive funding most notably in January 2011 receiving $1.5 billion and valuing the company at $50 billion. A year later in February 2012, Facebook announced that it was filing for its long-anticipated initial public offering. The company went public on May 18, 2012 opening in [NASDAQ] with shares trading at $42.05. Facebook announced positive numbers in February 2012 upon filing for its IPO. As of July 2013 over 1.15 billion users have logged into Facebook every month and 669 million users daily. Mobile users now make up half of Facebook’s user base with 819 million monthly actives. Facebook is one of the most trafficked sites in the United States. Additionally, Facebook is the top photo-sharing site with 250 million photos uploaded per day. The company has a strategic partnership with AXA Group to develop marketing and commercial collaboration in the digital, social, and mobile sphere. Meta is currently the owner of many applications and services such as Facebook App, Instagram, Whatsapp, Oculus VR, Pagemodo Pagebuilder, [RSS Graffiti], Huddle, and more. Facebook is the world’s largest social network with over 2.9 billion monthly active users.","Menlo Park, California, United States","Feb 4, 2004","Augmented Reality, Social Media,,","Meta is a social technology company that enables people to connect, find communities, and grow businesses.","Aug 4, 2022",Post-IPO Debt,"$10,000,000,000","Microsoft, PayPal, Accel, General Atlantic,",$10B+,—,"San Francisco Bay Area, Silicon Valley,"
SoLo Funds,—,101-250,"SoLo is a financial service provider enabling a marketplace where members can request and fund emergency needs. SoLo launched in 2018 with the goal of providing a lending alternative that was equitable, empowering, and community-driven. Since then, we’ve processed millions of transactions and redefined financial services for our community members. Today, we’re driven to new heights launching banking, credit building and premium member services, but grounded in the same hope and mission: to build a community that enables financial autonomy for all.","Los Angeles, California, United States",Apr 2018,"Banking, Financial Services, FinTech,,",SoLo is a community finance platform where our members step up for one another.,"Mar 3, 2023",Venture - Series Unknown,—,"Techstars, JumpStart, Alumni Ventures,,",$1M to $10M,"Black / African American Founded,,","Greater Los Angeles Area, West Coast,"
Maude,—,11-50,"Launched in April 2018, maude is an essentials brand on a mission to make intimacy better for all people through quality, simplicity, and inclusivity. Working closely with best-in-class factories, each of maude's body-safe products are made to be both easy-to-use and to elevate an everyday experience destigmatizing and modernizing sexual health.","Brooklyn, New York, United States",2017,"Consumer Goods, E-Commerce,,,",Maude is an essentials brand with a focus on access to sexual wellness products.,"Jun 29, 2021",Series A,"$5,800,000","WME, True., Outbound Ventures,,",—,"Hispanic / Latine Founded, Hispanic / Latine Led,,","Greater New York Area, East Coast,"
First Citizens Bank,—,5001-10000,"First Citizens Bank helps customers do more with money. It is a full-service banking institution, Its parent company, First Citizens BancShares, Inc. (NASDAQ: FCNCA), has more than $35 billion in assets. First Citizens is now a family-controlled bank, with a record of stable leadership few institutions can rival. First Citizens Bank provides banking services, essential business and professional services, wealth management capabilities, and a full-service telephone bank and sophisticated online and mobile banking offerings. The company is committed to reflecting the rich diversity of the communities where it does business. It strives to encourage associates to accomplish the full potential by contributing to business success and service excellence. The security of financial information is among the company's priorities. First Citizens Bank was founded on 1898 and is headquartered in Raleigh, North Carolina.","Raleigh, North Carolina, United States",1898,"Banking, Insurance, Lending, Payments,","First Citizens Bank provides banking services, essential business and professional services, wealth management capabilities, and more.","May 7, 2021",Debt Financing,"$10,000,000",—,—,—,"Research Triangle, East Coast,"
AstraZeneca,—,10001+,"AstraZeneca is an innovation-driven biopharmaceutical company specializing in the discovery, development, manufacturing and marketing of prescription medicines that make a meaningful difference in healthcare. AstraZeneca discovers new medicines that are designed to improve the health and quality of life of patients around the world - medicines which are innovative, effective and which offer added benefits such as reduced side effects or better ways of taking the treatment. AstraZeneca focus on getting the best from every medicine they make by exploring all the ways it can be used or improved. AstraZeneca was established on April 6, 1999 in Cambridgeshire, United Kingdom.","Cambridge, Cambridgeshire, United Kingdom","Apr 6, 1999","Biopharma, Biotechnology, Health Care,,","AstraZeneca is a pharmaceutical company that discovers, develops, manufactures, and markets prescription medicines.","Feb 28, 2023",Post-IPO Debt,"$2,250,000,000",—,$1B to $10B,—,—
Starbucks,—,10001+,"Starbucks is an international chain of restaurants that retails handcrafted coffee, tea, and fresh food items. With 23,132 stores in 65 countries and territories, Starbucks locations serve hot and cold drinks, whole-bean coffee, microground instant coffee, espresso, caffe latte, full-leaf teas, evolution fresh juices, pastries, and snacks. Most stores also sell pre-packaged food items, hot and cold sandwiches, and items such as mugs and tumblers. The stores also offer a variety of beers, wines, and appetizers, and markets books, music, and film. Some of the company’s products are seasonal or specific to the locality of the store. Starbucks-brand coffee, ice cream, and bottled cold coffee drinks are also sold at grocery stores. Starbucks was founded by Orin Smith in October 1971 and is based in Seattle, Washington.","Seattle, Washington, United States","Mar 31, 1971","Coffee, Food and Beverage, Restaurants,","Starbucks is an international restaurant chain that retails handcrafted coffee, tea, and fresh food items.","Oct 10, 2018",Post-IPO Equity,"$900,000,000","Upfront Ventures, Pershing Square Capital Management",$1B to $10B,—,"Greater Seattle Area, West Coast,"
Seagen,—,1001-5000,"Seattle Genetics is a clinical-stage biotechnology company that focuses on developing and commercializing monoclonal antibody-based therapies for the treatment of cancer and autoimmune diseases. Its lead product, SGN-35, is in the pivotal trial for patients with relapsed or refractory Hodgkin lymphoma. The company's other product candidates in various stages of clinical trials include dacetuzumab (SGN-40), a humanized anti-CD40 antibody; lintuzumab (SGN-33), a humanized anti-CD33 antibody; SGN-70, a humanized anti-CD70 antibody for the treatment of autoimmune diseases; SGN-75, which is in Phase I clinical trials for metastatic renal cell carcinoma and non-Hodgkin lymphoma; ASG-5ME, a preclinical antibody-drug conjugate product candidate for the treatment of solid tumors; and SGN-19A, a preclinical antibody-drug conjugate product candidate for the treatment of hematologic malignancies. It has collaborations with Bayer Pharmaceuticals Corporation; Celldex Therapeutics, Inc.; Daiichi Sankyo Co., Ltd.; Genentech; GlaxoSmithKline LLC; MedImmune, Inc.; Millennium; PSMA Development Company LLC; and Genmab A/S. The company also has an antibody-drug conjugates co-development agreement with Agensys, Inc. The company was founded in 1997 and is headquartered in Bothell, Washington.","Bothell, Washington, United States",1998,"Biotechnology, Health Care, Pharmaceutical,",Seagen is a clinical-stage biotechnology company dedicated to improving patient outcomes with advanced antibody-drug conjugate technology.,"Sep 14, 2020",Post-IPO Equity,"$1,000,000,000","Merck, Takeda, New Enterprise Associates,",$1B to $10B,—,"Greater Seattle Area, West Coast,"
