Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Grin,—,251-500,"GRIN is a marketing software that enables direct-to-consumer brands to collaborate and manage their relationships with influencers. It provides social platforms, e-commerce solutions, and communication tools. The software enables brands with the discovery and outreach to relationship management and campaigns, product seeding, discount codes and affiliate links, content and rights management, sales tracking, and deep analytics services. It also manages the logistics, record-keeping, analytics, and payment for influencer marketing. The Sacramento, California-based company was established by Brandon Brown, Brian Mechem, and Ryan Brown in 2014.","Sacramento, California, United States",2014,"Analytics, E-Commerce, Marketing,",GRIN is a marketing software that enables direct-to-consumer brands to collaborate and manage their relationships with influencers.,"Oct 13, 2021",Series B,"$110,000,000","LAUNCH, Globivest, Headline,,",$1M to $10M,—,"West Coast, Western US"
BYD Company,—,10001+,"BYD is engaged in the research, development, manufacture, and distribution of automobiles, secondary rechargeable batteries, and mobile phone components. The company operates its businesses primarily through its secondary rechargeable battery business that provides lithium-ion batteries and nickel batteries which are applied in mobile phones, digital cameras, electric tools, electric toys, and other portable electronic devices; mobile phone components and assembly businesses which offer casings, keypads, liquid crystal display (LCD) modules, cameras, flexible circuit boards, chargers, and mobile phone design and assembly services; and automobile business which provides automobiles, including G6, S6, and other series.","Shenzhen, Guangdong, China",1995,"Automotive, Manufacturing","BYD is engaged in the research, development, manufacture, and distribution of automobiles, secondary rechargeable batteries and more.","Oct 30, 2021",Post-IPO Equity,"$1,770,000,000",Samsung Electronics,$1B to $10B,—,Asia-Pacific (APAC)
Replicate,—,11-50,"Replicate is a startup that uses cloud technology to run machine learning models. By providing a streamlined solution, their platform is intended to reduce manual work for software teams. Developers can deploy AI models with minimal coding on Replicate's platform, making the process more efficient. The startup's technology promises to make machine learning model deployment easier by reducing the amount of manual work required from software teams. Developers can streamline their workflow and focus on other important tasks by utilizing their platform. Replicate's mission is to make AI model deployment more accessible and efficient for software teams.","San Francisco, California, United States",2019,Artificial Intelligence,Replicate is a machine learning model in the cloud.,"Feb 21, 2023",Series A,"$12,500,000","Sequoia Capital, Andreessen Horowitz,,,",—,—,"San Francisco Bay Area, West Coast,"
Relativity,—,1001-5000,"Relativity makes software to help users organize data, discover the truth and act on it. Its SaaS product RelativityOne manages large volumes of data and quickly identifies key issues during litigation and internal investigations. The AI-powered communication surveillance product, Relativity Trace proactively detects regulatory misconduct like insider trading, collusion and other non-compliant behavior. Relativity has more than 300,000 users in 49 countries serving thousands of organizations globally primarily in legal, financial services and government sectors, including the U.S. Department of Justice and 198 of the Am Law 200. Relativity has been named one of Chicago’s Top Workplaces by the Chicago Tribune for 11 consecutive years.","Chicago, Illinois, United States",2001,"Ediscovery, Enterprise Software,,","Relativity's makes software to manage large volumes of data and identify key issues during litigation, investigations, and compliance.","Mar 18, 2021",Private Equity,—,"Silver Lake, ICONIQ Capital",$100M to $500M,—,"Greater Chicago Area, Great Lakes,"
Starburst,—,101-250,"Starburst is the analytics engine for all your data. We provide the fastest, most efficient analytics engine for your data warehouse, data lake, or Data Mesh. We unlock the value of distributed data by making it fast and easy to access, no matter where it lives. Starburst queries data across any database, making it instantly actionable for data-driven organizations. With Starburst, teams can lower the total cost of their infrastructure and analytics investments, prevent vendor lock-in, and use the existing tools that work for their business. Trusted by companies like Comcast, FINRA, and Condé Nast, Starburst helps companies make better decisions faster on all data.","Boston, Massachusetts, United States","Oct 8, 2017","Analytics, Big Data, Information Technology,",Starburst Data is a data access and analytics company developing an SQL query engine.,"Feb 9, 2022",Series D,"$250,000,000","Andreessen Horowitz, Salesforce Ventures,,,",$1M to $10M,—,"Greater Boston Area, East Coast,"
Cambridge Mobile Telematics,—,251-500,"Cambridge Mobile Telematics (CMT) makes roads and drivers safer around the world. Founded in 2010 by two MIT professors and experienced entrepreneurs, CMT pioneered telematics for behavior-based insurance (BBI) and deployed the first solution to provide both traditional vehicle-centric UBI and BBI. CMT has over 20 customers in 14 countries.","Cambridge, Massachusetts, United States",2010,"Insurance, Mobile, Public Safety,","Cambridge Mobile Telematics develops DriveWell, a complete telematics and behavioral analytics solution to improve safety.","Dec 19, 2018",Private Equity,"$500,000,000",SoftBank Vision Fund,—,—,"Greater Boston Area, East Coast,"
DRESSX,—,11-50,"DRESSX is a fashion startup that offers digital-only collections from brands and 3D designers. The startup gives digital clothes that may be digitally worn by its customers of their photographs and movies to be shared throughout varied digital platforms. It was founded in 2020 and is headquartered in Los Angeles, California.","Los Angeles, California, United States","Jul 27, 2020","3D Technology, E-Commerce,,",DRESSX is a fashion startup that offers digital-only collections from brands and 3D designers.,"Feb 28, 2023",Series A,"$15,000,000","Warner Music Group, Greenfield,,,",—,—,"Greater Los Angeles Area, West Coast,"
Perspectum,—,251-500,"Perspectum delivers cutting-edge digital technologies that help clinicians provide better care for patients with liver disease, diabetes, and cancer. With a strong focus on precision medicine using advanced imaging and genetics, our vision is to empower patients and clinicians through quantitative assessments of health enabling early detection, diagnosis, and targeted treatment. With a diverse team of physicians, biomedical scientists, engineers, and technologists, Perspectum offers a way to manage complex health problems at scale.","Oxford, Oxfordshire, United Kingdom",2012,"Health Care, Medical Device, Wellness",Perspectum provides imaging solutions to help doctors in clinical decision-making as well as support patient engagement.,"Mar 15, 2023",Series C,"$19,000,000","Oxford Science Enterprises, Innovate UK,,,",—,—,—
Texas Instruments,—,10001+,"Texas Instruments is a Dallas, Texas-based company that specializes in developing and commercializing semiconductor and computer technology for cellular handsets, digital signal processors, and analog semiconductors. Other focus areas include chips for emerging medical electronics, energy (including Low Power/No Power, LED Lighting, & Solar Technologies), RFID, and telecommunications infrastructure.","Dallas, Texas, United States",1930,"Computer, DSP, Semiconductor","Texas Instruments is a global semiconductor company that manufactures, designs, tests, and sells embedded and analog processing chips.","Mar 7, 2023",Post-IPO Debt,"$1,400,000,000",—,$500M to $1B,—,"Dallas/Fort Worth Metroplex, Southern US"
Beyond Meat,—,501-1000,"Beyond Meat is a food processing company that specializes in providing plant-based meat. The company aims to make a positive impact on four growing global issues such as human health, climate change, constraints on natural resources, and animal welfare. Its plant-based meats are made by combining expert innovation with simple, non-GMO ingredients. Beyond Meat's products offer greater or equal protein levels than their animal counterparts, no cholesterol, less saturated fat, and no antibiotics or hormones.","Manhattan Beach, California, United States",2009,"Food and Beverage, Food Processing,,",Beyond Meat is a food processing company that specializes in providing plant-based meat.,"Apr 1, 2019",Series G,—,"Collaborative Fund, Kleiner Perkins,,,",$50M to $100M,—,"Greater Los Angeles Area, West Coast,"
ID Finance,—,251-500,"ID Finance is a data science, credit scoring, and digital finance company that is pioneering fintech innovation in emerging markets with a range of convenient, competitive, and transparent loan products available over the internet. The company uses machine learning and advanced data science techniques to improve access to competitive financial services. Headquartered in Barcelona, ID Finance has over 400 staff spread across its operations under the MoneyMan and Plazo brands in Spain, Brazil, and Mexico, with R&D located in Minsk, Belarus. The company's founders previously worked in banking including Deutsche Bank and Royal Bank of Scotland. ID Finance saw 236% revenue growth in 2018. The company now has 1.4m registered clients. ID Finance has raised $10m of equity funding to date and $50m of debt funding. The Company has been ranked the second fastest-growing fintech in the FT 1000 list.","Barcelona, Catalonia, Spain",2012,"Finance, Financial Services, FinTech,",ID Finance is a fintech company that provides online consumer lending and credit scoring services in emerging and growing markets.,"Mar 22, 2023",Debt Financing,"€30,000,000","Crowdcube, Kingsway Capital,,,",—,—,European Union (EU)
Saudi Arabia's Public Investment Fund,—,501-1000,"The Public Investment Fund was originally established in 1971 to facilitate the development of the Saudi Arabian national economy. In 1974, PIF was mandated to hold equity positions in join-stock ventures within its domestic economy.","Riyadh, Ar Riyad, Saudi Arabia",1971,"Finance, Financial Services, Venture Capital",Saudi Arabia's Public Investment Fund facilitates the development of the national economy.,"Nov 30, 2022",Debt Financing,—,"JP Morgan Chase, HSBC, Goldman Sachs",$100M to $500M,—,Gulf Cooperation Council (GCC)
KuCoin,—,501-1000,"KuCoin is a global cryptocurrency exchange for numerous digital assets and cryptocurrencies. Launched in September 2017, KuCoin has grown into one of the most popular crypto exchanges and already has over 8 million registered users across 207 countries and regions around the world. Known as ""People’s Exchange"", KuCoin operates in Seychelles, providing users with 24/7 multi-language customer services. Meanwhile, KuCoin has established about 19 local communities in North America, Europe, SEA and other regions, providing users with highly localized services. As the home of crypto gems, KuCoin has supported over 420 projects with 790+ trading pairs. A number of projects like ICP, BOSON, AERGO, RNDR, and DAO had a primary listing on KuCoin. In November 2018, KuCoin announced $20 million (USD) round A funding from IDG Capital and Matrix Partners. In 2021, Forbes Advisor named KuCoin as one of the Best Crypto Exchanges.","Mahé, Beau Vallon, Seychelles",2017,"Bitcoin, Blockchain, Cryptocurrency,,",KuCoin is a global cryptocurrency exchange offering digital assets and providing crypto services to its users.,"Jul 21, 2022",Venture - Series Unknown,"$10,000,000","Circle, NGC Ventures, Susquehanna International Group (SIG),,",—,—,—
ShiftMed,—,501-1000,"ShiftMed is a nursing jobs app that delivers an on-demand workforce marketplace for credentialed nursing professionals. It offers access to a local marketplace with over 350,000 credentialed W-2 healthcare workers and an automated workforce management platform that allows acute, post-acute, and in-home providers to manage their resources dynamically. Health systems can offer a modern, unified solution to their workforce by utilizing mobile and cloud-based software that provides workforce optimization. This increases retention creates part-time work opportunities and reduces reliance on travel agencies. ShiftMed also provides access to additional local staff, lowering operating costs by 30-40% when compared to alternative travel staffing options.","Mclean, Virginia, United States",2019,"Apps, Health Care, Hospital, Marketplace,",ShiftMed is a nursing jobs app that delivers an on-demand workforce marketplace for credentialed nursing professionals.,"Feb 6, 2023",Venture - Series Unknown,"$200,000,000","Motley Fool Ventures, Q Holdings Inc,,,",—,—,"Washington DC Metro Area, East Coast,"
KreditBee,—,501-1000,"KreditBee is a personal loan platform for young professionals, where they can apply for Salary Advance up to ₹ 1 Lac as per their requirement. The documentation is very minimal, and the entire process starting from registration to disbursement does not take more than 15 minutes. The application process is completely online, and on approval, the cash is immediately transferred to the bank account of the user. KreditBee facilitates the loan transactions between the borrowers and the NBFCs/Banks. All loan applications are approved and sanctioned by NBFCs/Banks registered with RBI and communicated upfront during Loan application.","Bangalore, Karnataka, India","May 1, 2018","Financial Services, FinTech, Internet,,",KreditBee is a digital lending platform developed to assist young professionals with their personal finances.,"Jan 6, 2023",Series D,"₹9,799,920,000","Advent International, MUFG Bank,,,",—,—,Asia-Pacific (APAC)
Athletic Brewing,—,101-250,"Athletic Brewing is an owner of a craft brewery that produces beer without alcohol The company's brewery produces craft beer using only natural ingredients, allowing healthy, active adults to enjoy healthy substitutes for alcohol. Athletic Brewing was founded in 2017 by Bill Shufelt and John Walker headquartered in Stratford, Connecticut.","Stratford, Connecticut, United States",2017,"Brewing, Craft Beer, Food and Beverage",Athletic Brewing is a food and beverage company that specializes in manufacturing non-alcoholic craft beer.,"Mar 3, 2023",Venture - Series Unknown,"$9,143,161","Keurig Dr Pepper, Wheelhouse 360 Partners,,,",$1M to $10M,—,"East Coast, New England, Northeastern US"
GIVA,—,101-250,"GIVA is an omnichannel platform that offers affordable fine jewelry. GIVA also offers a range of designs in metals like 18K gold, Rose Gold, and oxidized silver with embellishments of zircon, pearl, marcasite, and other colored stones. GIVA's collection includes earrings, necklaces, bracelets, and rings, crafted from sterling silver for everyday wear.","Bangalore, Karnataka, India",2019,"E-Commerce, Fashion, Jewelry,",GIVA is an omnichannel platform that offers affordable fine jewelry.,"Mar 9, 2023",Debt Financing,"₹400,000,000","Alteria Capital, Sixth Sense Ventures,,,",—,—,Asia-Pacific (APAC)
Fynn,—,11-50,"Fynn offers loan services for school students. Their loans are private loans, and they do not have the same terms, repayment options, or rates as those offered through federal loan programs, other private lenders, or school based financing options.","Wilmington, Delaware, United States",2019,"Finance, Financial Services, Lending",Fynn provides education loans and financial assistance to students.,"Mar 7, 2023",Debt Financing,"$25,000,000","Y Combinator, Susa Ventures,,,",—,—,"Greater Philadelphia Area, East Coast,"
Biobot Analytics,Yes,101-250,"Biobot Analytics is a wastewater epidemiology company that is transforming wastewater infrastructure into public health observatories. Its wastewater monitoring technology analyzes urine and stool samples to create a health database that is independent of hospital reporting systems, free from societal biases affecting who can and can’t seek care, and most importantly, rapidly adaptable to new and emerging public health threats. It was founded in 2017 and is based in Cambridge, Massachusetts, United States.","Cambridge, Massachusetts, United States",2017,"Analytics, Big Data, Biotechnology,,,",Biobot Analytics is a wastewater epidemiology company that is transforming wastewater infrastructure into public health observatories.,"Oct 23, 2021",Series A,"$20,833,737","Y Combinator, Pioneer Fund, DCVC,,",Less than $1M,"Hispanic / Latine Founded, Hispanic / Latine Led,,,,","Greater Boston Area, East Coast,"
Box,—,1001-5000,"Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls. Box provides more than 8 million users with secure cloud content management and collaboration. Box platform ""allows personal and commercial content to be accessible, sharable, and storable in any format from anywhere."" It also helps businesses of all sizes in every industry securely access and manages their critical information in the cloud.","Redwood City, California, United States",2005,"Cloud Computing, Enterprise Software,,,","Box is an online file sharing and cloud content management service offering unlimited storage, custom branding, and administrative controls.","Apr 8, 2021",Post-IPO Equity,"$500,000,000","Telefonica, Andreessen Horowitz,,,",$500M to $1B,—,"San Francisco Bay Area, Silicon Valley,"
Sifflet,—,11-50,"Sifflet is a cloud-native solution designed to help businesses create value from their data. The company provides data quality, traceability, and visibility in one location. They are a collection of dedicated individuals on a quest to reduce data entropy.","Paris, Ile-de-France, France",Jun 2021,"Analytics, Information Technology,,",Sifflet is a data stack observability platform that delivers actionable insights to data engineers and data consumers.,"Mar 22, 2023",Series A,"$12,800,000","EQT Ventures, Bessemer Venture Partners,,",—,—,European Union (EU)
Gynoveda,—,11-50,"Gynoveda is a FemTech company that combines technology and ayurveda to promote healthy menstrual cycles. Gynoveda offers exclusive offers, health tips, videos, and much more. Gynoveda is on a mission to evangelize ayurveda for healthy periods and make it the first choice for period problems around the world.","Mumbai, Maharashtra, India",2019,"Health Care, Personal Health,,",Gynoveda is a FemTech company that combines technology and ayurveda to promote healthy menstrual cycles.,"Mar 15, 2023",Series A,"$10,000,000","Alteria Capital, Fireside Ventures,,,",Less than $1M,—,Asia-Pacific (APAC)
Assured Allies,—,51-100,Assured Allies they are developing technologies with long-term care industry leaders and insurance companies.,"Boston, Massachusetts, United States",2017,"Health Care, Insurance, Service Industry,",Assured Allies is on a mission to make successful aging accessible.,"Mar 7, 2023",Series B,"$42,500,000","Hamilton Lane, Samsung NEXT,,,",$1M to $10M,—,"Greater Boston Area, East Coast,"
Andela,Yes,1001-5000,"Andela is a global talent network that connects companies with engineering talent in emerging markets. Hundreds of leading companies like GitHub, Cloudflare, and ViacomCBS leverage Andela to scale their engineering teams quickly and cost-effectively. A distributed organization spanning four continents, Andela is backed by investors including Generation Investment Management, Chan Zuckerberg Initiative, Spark Capital, and Google Ventures.","New York, New York, United States","May 21, 2014","B2B, Consulting, Human Resources,,",Andela's mission is to connect brilliance with opportunity.,"Sep 29, 2021",Series E,"$200,000,000","Google Ventures, International Finance Corporation,,,",$50M to $100M,"Black / African American Founded,","Greater New York Area, East Coast,"
Motive,—,1001-5000,"Motive is a remote-first company that serves more than one million drivers and over 100,000 businesses that power the physical economy by building technology to improve the safety, productivity, sustainability, and profitability of businesses that power the physical economy. Shoaib Makani and his co-founders Ryan Johns and Obaid Khan founded the company in 2013 to serve the trucking industry, a workforce that is essential to the economy but underserved by technology. The Motive Automated Operations Platform combines IoT hardware with AI-powered applications to automate vehicle and equipment tracking, driver safety, compliance, maintenance, spend management, and more. Motive serves more than 120,000 businesses, across a wide range of industries including trucking and logistics, construction, oil and gas, food and beverage, field service, agriculture, passenger transit, and delivery. Motive has more than 3,500 employees across 8 global offices.","San Francisco, California, United States",2013,"Artificial Intelligence, Logistics,,","Motive builds technology to improve the safety, productivity and profitability of businesses that power the physical economy.","May 25, 2022",Series F,"$150,000,000","Google Ventures, BlackRock, Insight Partners,,",$10M to $50M,—,"San Francisco Bay Area, West Coast,"
ChatGPT,—,—,ChatGPT is a chatbot developed by OpenAI and launched in November 2022. It is built on top of OpenAI's GPT-3 family of large language models and has been fine-tuned using both supervised and reinforcement learning techniques.,—,"Jan 3, 2023","Artificial Intelligence, Information Technology,",ChatGPT is an artificial intelligence tools that interacts in a conversational way.,—,—,—,—,—,—,—
Stanley Black & Decker,—,10001+,"Stanley Black & Decker, Inc., formerly The Stanley Works, focuses on operating in the hand and power tool, and storage industries. It focuses on mechanical and electronic security and engineered fasteners with brands such as Stanley, Black & Decker, FatMax, DeWalt, Bostitch, Porter-Cable, Facom, Emhart Technologies, Proto, Kwikset, and Mac Tools. In March 2010, the company announced that it had completed its merger with The Black & Decker Corporation. In July 2010, Stanley Black & Decker, Inc. announced that it had acquired CRC-Evans International (CRC-Evans), a global supplier of specialized tools, equipment, and services for the construction of oil and natural gas transmission pipelines. In July 2010, Stanley Black & Decker, Inc. announced that it had acquired CRC-Evans International (CRC-Evans), a global supplier of specialized tools, equipment, and services for the construction of oil and natural gas transmission pipelines.","New Britain, Connecticut, United States",1843,"Automotive, Construction, Industrial,",Stanley Black and Decker is a tool and industrial equipment manufacturing company.,"Mar 1, 2023",Post-IPO Debt,"$745,400,000",—,$10B+,—,"East Coast, New England, Northeastern US"
fuboTV,—,251-500,"fuboTV is the world’s only sports-focused live TV streaming service with top leagues and teams, plus popular shows, movies and news for the entire household. Its base package, fubo Standard, is available for $54.99 per month and features more than 110 channels, including a growing line-up of national channels, local broadcast stations and regional sports networks (RSNs); personal Cloud DVR storage; and two simultaneous streams – with no contract or set top box required. Get fubo.tv on the web, on popular mobile phones and tablets, and on connected and smart TVs. Headquartered in New York City, fuboTV has quickly evolved into the top independent virtual MVPD in the U.S. and a sports-first cable replacement for the entire family, after initially launching as a streaming soccer service in January 2015. With the launch of fuboTV España in 2018, it became the first U.S. virtual MVPD to enter Europe. fubo Sports Network, the live, free-to-consumer TV network for passionate sports fans, was launched in 2019 offering event coverage, news, behind-the-scenes and exclusive programming. Named to Forbes’ Next Billion Dollar Startup list in 2019, fuboTV has raised more than $250 million in funding to date. Investors include AMC Networks, DCM Ventures, Discovery, Inc., Goldman Sachs, i2bf, LionTree Partners, Luminari Capital, Microsoft, Northzone, The Walt Disney Corporation, Viacom Inc., Waverley Capital, Edgar Bronfman, Jr. (former Chairman and CEO of Warner Music Group), Chris Silbermann (founding partner, ICM Partners) and former NBA Commissioner David Stern among others.","New York, New York, United States","Jun 2, 2014","Digital Entertainment, Sports,","fuboTV is the sports-focused live TV streaming service with top leagues and teams, plus popular shows, movies and news for the whole family.","May 1, 2019",Secondary Market,—,"I2BF Global Ventures, LionTree,,,",$100M to $500M,—,"Greater New York Area, East Coast,"
Amgen,—,10001+,"Amgen is a biotechnology company that develops and manufactures human therapeutics for various illnesses and diseases. The company is values-based and deeply rooted in science and innovation to transform new ideas and discoveries into medicines for patients with serious diseases. They offer products for treating illness in the areas of oncology/hematology, cardiovascular, inflammation, bone health, nephrology, and neuroscience.","Thousand Oaks, California, United States",1980,"Biotechnology, Health Care, Manufacturing,",Amgen is a biotechnology company that develops and manufactures human therapeutics for various illnesses and diseases.,"Dec 12, 2022",Post-IPO Debt,"$28,500,000,000","Bank of America, Citibank",$10B+,—,"Greater Los Angeles Area, West Coast,"
GameStop,—,10001+,"GameStop is a family of specialty retail brands that makes the most popular technologies affordable and simple. It is a global retailer of multichannel video games, pop culture collectibles, consumer electronics and wireless services, operating more than 6,900 stores in 14 countries across Europe, Canada, Australia and the United States. GameStop is committed to delivering innovation to consumers anywhere, anytime, and anyway. Whether looking for new or pre-owned, digital or physical video game titles, the latest in video game hardware or accessories or consumer electronics, gaming and technology enthusiasts are invited to discover and enjoy their favorite products in one of GameStop's welcoming retail environments. The company's global family of video game-related brands include GameStop; EB Games, an international electronics retailer; Micromania, France's leading video game retailer; Kongregate, a popular web and mobile gaming site; and Game Informer® magazine, the world's leading print and digital video game publication. Its Technology Brands segment includes Spring Mobile, the No. 1 largest authorized dealer of AT&T wireless services; Cricket Wireless, an authorized dealer of pre-paid AT&T services; and Simply Mac, the largest certified retailer of Apple’s full line of products. GameStop recently completed the acquisition of Geeknet, the parent company of ThinkGeek. With this acquisition, they are expanding into a growing $20 billion worldwide category as the premier global retailer that features exclusive and unique collectible products.","Grapevine, Texas, United States",1996,"Gaming, Online Games, Retail,,",GameStop is a video games and entertainment software retailer operating thousands of retail stores.,"Nov 4, 2021",Post-IPO Debt,"$500,000,000",RC Ventures,$1B to $10B,—,"Dallas/Fort Worth Metroplex, Southern US"
Yotpo,—,251-500,"Yotpo is an e-commerce marketing platform. Its single-platform approach integrates data-driven solutions for reviews, loyalty, sms marketing, and more, empowering brands to create smarter, higher-converting experiences that spark and sustain customer relationships.","New York, New York, United States",2011,"Content, E-Commerce, Marketing,",Yotpo is an e-commerce marketing platform.,"Sep 9, 2021",Corporate Round,"$30,000,000","Shopify, Tiger Global Management,,,",$10M to $50M,—,"Greater New York Area, East Coast,"
