Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
BeReal.,—,11-50,BeReal. enables users to spontaneously post photos of their daily lives with their pals. Everyone receives a simultaneous notification each day at a different time to take and share a photo within two minutes.,"Paris, Ile-de-France, France",2020,"Apps, Mobile Apps, Photo Sharing,,",BeReal. is a photo-sharing app that randomly notifies everyone to capture and share a photo in 2 minutes.,"May 1, 2022",Series B,"$60,000,000","Andreessen Horowitz, Accel",—,—,European Union (EU)
Reliance Jio,—,10001+,"Reliance Jio Infocomm is a company providing wireless telecom products and services. The Company offers voice, data, and messaging services, as well as distributes smartphones and hotspot devices. Its areas of research, development and new service deployment include blockchain, artificial intelligence, open source platforms, IOT, data analytics, and next-gen cloud services.","Mumbai, Maharashtra, India",2010,"Apps, Consumer Electronics, Electronics,,,,",Reliance Jio is a telecommunications company that offers high-speed mobile internet access.,"Mar 13, 2023",Debt Financing,—,"Meta, Google, Reliance Industries,,",$1B to $10B,—,Asia-Pacific (APAC)
Hamilton Lane,—,251-500,"Hamilton Lane is a private markets investment firm that serves institutional and private wealth investors worldwide. As of December 31, 2022, Hamilton Lane had $831.9 billion in assets under management and supervision, with $107.5 billion in discretionary assets and $724.4 billion in non-discretionary assets. Hamilton Lane specializes in developing adaptable investment programs that give clients access to a broad range of private market strategies, sectors, and geographies.","Bala Cynwyd, Pennsylvania, United States",1991,"Business Development, Financial Services,,,",Hamilton Lane is a private market investment firm that serves institutional and private wealth investors worldwide.,"Mar 6, 2023",Post-IPO Equity,"$51,700,000",—,$100M to $500M,—,"Greater Philadelphia Area, Great Lakes,"
Hugging Face,—,101-250,Hugging Face is an open-source and platform provider of machine learning technologies. Hugging Face was launched in 2016 and is headquartered in New York City.,"New York, New York, United States",2016,"Artificial Intelligence, Machine Learning,,,","Hugging Face allows users to build, train, and deploy art models using the reference open source in machine learning.","May 9, 2022",Series C,"$100,000,000","Sequoia Capital, Betaworks, Lux Capital,,",$1M to $10M,—,"Greater New York Area, East Coast,"
SoftBank,—,10001+,"SoftBank provides fixed-line, mobile telephony, internet, telecommunications, and digital television products. It is a multinational telecommunications and internet corporation focused on broadband, fixed-line telecommunications, e-commerce, the internet, technology services, finance, media and marketing, and other businesses. The company operates through four segments. The mobile communications segment provides mobile communications services, produces and distributes online games for smartphones and other devices, offers mobile broadband services, provides supply chain solutions, handset protection, and insurance, buy-back and trade-in services, omnichannel solutions, and financial services, and sells mobile devices such as iPhones, iPads, and SoftBank smartphones. The Sprint segment offers mobile and fixed-line voice and data transmission services for individual consumers, businesses, government subscribers, and resellers in Puerto Rico and the U.S. and sells mobile devices and accessories. The fixed-line telecommunications segment offers telecom services such as fixed-line telephone and data communications services to corporate customers and broadband services to individual customers. The internet segment is engaged in the operation of the Yahoo! Japan portal, the sale of internet advertising, the operation of e-commerce sites, the provision of membership services, the sale and marketing of data centers, the provision of online automobile-related information, and the operation of the internet affiliate system. SoftBank also generates and sells electricity from renewable energy sources; provides payment processing, invoice collections, and computation services for businesses; distributes video, voice, and data content via media; operates the IT information site ITmedia; provides solutions and services for online businesses; and operates online games and software downloads. Additionally, it is involved in the ownership of professional baseball teams, the operation of baseball games, the management and maintenance of baseball stadiums and other sports facilities, and the procurement of funds by issuing preferred securities. SoftBank was established by Masayoshi Son in 1981 and is headquartered in Tokyo, Japan.","Tokyo, Tokyo, Japan","Sep 3, 1981","Banking, E-Commerce, Internet,,","SoftBank provides fixed-line, mobile telephony, internet, telecommunications, and digital television products.","Mar 3, 2022",Post-IPO Debt,"¥100,000,000,000","Samsung Electronics, Tiger Global Management",$10B+,—,Asia-Pacific (APAC)
Magic Eden,—,101-250,"Magic Eden is a community-centric company. They work hard to be responsive, close to the ground, and in service to the best interests of their collections. To prove their commitment to the community, they airdropped Magic Tickets, their own collection, to over 30,000 users. Holding a Magic Ticket gives holders access to their discord-based DAO, MagicDAO, where they deliver interconnectivity via social programs and rewards to the community.","San Francisco, California, United States",2021,"Cryptocurrency, Internet, Marketplace","Magic Eden is an NFT marketplace for users to discover, trade, and create NFTs.","Jul 1, 2022",Initial Coin Offering,"$500,000","Sequoia Capital, Lightspeed Venture Partners,,,",—,—,"San Francisco Bay Area, West Coast,"
UBS,—,10001+,"UBS is a global wealth manager, an investment banking and securities firm, and one of the global asset managers. It works with individuals, families, institutions, and corporations around the world to help answer some of life's questions, whether through award-winning wealth management advisory, investment banking, and asset management expertise, or private and corporate banking services in Switzerland.","Zürich, Zurich, Switzerland","Jan 1, 1854","Asset Management, Banking, Commercial Lending,,,,",UBS is a global financial services company that engages in the provision of financial management solutions.,—,—,—,—,$1B to $10B,—,—
Artera,—,251-500,"Artera, a well-known precision medicine business, specializes in developing AI-based diagnostics to personalize cancer treatment for patients. Their cutting-edge test not only stratifies patients' risks but also forecasts their therapeutic success, making it a critical tool in cancer treatment. One of their most notable accomplishments has been the invention of the first-ever prognostic test for localized prostate cancer. Artera's revolutionary method promises to transform cancer therapy and give better outcomes for patients.","Santa Barbara, California, United States","Apr 14, 2015","Artificial Intelligence, Enterprise Software,,,",Artera is a software-as-a-service firm that creates multimodal artificial intelligence-based cancer prediction and prognostic testing.,"Nov 24, 2020",Series C,"$45,000,000","Techstars, Right Side Capital Management,,,",$1M to $10M,—,"West Coast, Western US"
Zypp Electric,—,101-250,"Zypp Electric is an EV delivery app that operates in the last-mile space. Zypp is working to convert all deliveries for e-commerce, grocery, medicine, and food vertical to go electric with an e-scooter sharing app. Making last-mile delivery more affordable, time-saving, and with zero emission. Zypp, through its continuous efforts to invest and strategize toward the mission of zero-emission, has become the first EV logistics player to turn EBITDA positive business, the company claimed in the statement.","Gurgaon, Haryana, India","Aug 8, 2017","Clean Energy, Delivery Service,,,,,",Zypp Electric is an EV delivery app that operates in the last-mile space.,"Feb 8, 2023",Series B,"$25,000,000","Google for Startups, Gogoro, Venture Catalysts,,",$1M to $10M,—,Asia-Pacific (APAC)
Asana,—,1001-5000,"Asana is a computer software company that specializes in the fields of work management and productivity. It helps teams orchestrate their work, from small projects to strategic initiatives. It was founded in 2009 and is headquartered in San Francisco, California.","San Francisco, California, United States",2008,"Collaboration, Enterprise Software,,",Asana is a computer software company that specializes in the fields of work management and productivity.,"Aug 15, 2020",Undisclosed,—,"Silicon Valley Bank, Andreessen Horowitz,,,",$100M to $500M,—,"San Francisco Bay Area, West Coast,"
Tripadvisor,—,1001-5000,"Tripadvisor, the world’s largest travel guidance platform, helps hundreds of millions of people each month become better travelers, from planning to booking to taking a trip. Travelers across the globe use the Tripadvisor site and app to discover where to stay, what to do and where to eat based on guidance from those who have been there before. With more than 934 million reviews and opinions of nearly 8 million businesses, travelers turn to Tripadvisor to find deals on accommodations, book experiences, reserve tables at delicious restaurants and discover great places nearby. As a travel guidance company available in 43 markets and 22 languages, Tripadvisor makes planning easy no matter the trip type. The subsidiaries of Tripadvisor, Inc. (NASDAQ:TRIP), own and operate a portfolio of travel media brands and businesses, operating under various websites and apps, including the following websites: www.bokun.io, www.cruisecritic.com, www.flipkey.com, www.thefork.com, www.helloreco.com, www.holidaylettings.co.uk, www.housetrip.com, www.jetsetter.com, www.niumba.com, www.seatguru.com, www.singleplatform.com, www.vacationhomerentals.com, and www.viator.com.","Needham, Massachusetts, United States","Feb 1, 2000","E-Commerce, Hospitality, Hotel,,,,,,",Tripadvisor is the largest travel guidance platform.,"Mar 22, 2021",Post-IPO Equity,"$300,000,000","TCV, OneLiberty Ventures",$100M to $500M,—,"Greater Boston Area, East Coast,"
SVB Financial Group,Yes,1001-5000,"SVB Financial Group offers banking, asset management, wealth management, investment services, and funds management services. Headquartered in Santa Clara, California, SVB Financial Group operates internationally. SVB Financial Group was founded in 1983.","Santa Clara, California, United States",1983,"Asset Management, Banking, Financial Services,","SVB Financial Group offers banking, asset management, wealth management, investment services, and funds management services.","Apr 26, 2022",Post-IPO Debt,"$800,000,000",—,—,—,"San Francisco Bay Area, Silicon Valley,"
BT,—,10001+,"BT provides communications services to consumer and business sectors worldwide. The company operates in segments such as global services, business, consumer, wholesale, openreach, and more. It offers managed networked IT and consulting services to corporate and public sector customers such as Internet protocol (IP), Ethernet, and virtual private network services; firewalls, web security, intrusion prevention, and threat monitoring services; collaboration services; contact center services; telehousing and colocation services; and consulting, integration, and managed services. The company’s BT Business segment provides fixed-voice, broadband, mobility, networking, and IT services; fire and security alarm signaling services, surveillance networks, and control room services; directory enquiries, phone book, operator services, and call handling for the emergency services; and public, private, and managed payphone services to business customers. The consumer segment offers fixed-voice, broadband, and TV services; sports content; online storage and on-the-go access to data and photos; parental controls; and Wi-Fi services. Its wholesale segment provides a range of broadband, data connectivity, voice, IP exchange, hosted communications, and media and broadcast services as well as managed solutions for broadband and TV providers, and broadcasters. The company’s openreach segment provides fiber broadband, passive infrastructure access, wholesale line rental, local loop unbundling, Ethernet, passive infrastructure access, and mobile infill infrastructure solution services as well as products that connect exchanges to communications providers’ networks. BT also retails technology equipment; and provides systems integration, fleet management, and payment services as well as audio, video, and web conferencing, and collaboration services. BT Group plc was incorporated in 2001 and is based in London, United Kingdom.","London, England, United Kingdom","Oct 1, 1969","Cyber Security, Information Technology,,,",BT provides communications services to consumer and business sectors worldwide.,"Jun 10, 2021",Post-IPO Equity,"£2,200,000,000","Altice, Sekunjalo Group, AYO Technology Solutions",$1B to $10B,—,—
