Organization Name,Actively Hiring,Number of Employees,Full Description,Headquarters Location,Founded Date,Industries,Description,Last Funding Date,Last Funding Type,Last Funding Amount,Top 5 Investors,Estimated Revenue Range,Diversity Spotlight (US Headquarters Only),Headquarters Regions
Aclima,—,101-250,"Aclima is pioneering an entirely new way to diagnose the health of our air and track climate-changing pollution. Powered by our network of roving and stationary sensors, Aclima measures air pollution and greenhouse gases at unprecedented scales and block-by-block resolution. Our professional analytics software, Aclima Pro, translates billions of scientific measurements into environmental intelligence for governments, companies, and communities. Aclima is a purpose-driven technology company catalyzing bold climate action that protects public health, reduces emissions, and delivers clean air for all. We're backed by top-tier investors, including Social Capital, Kapor Capital and Microsoft Climate Innovation Fund. For more information please visit https://aclima.io.","San Francisco, California, United States",2007,"Analytics, CleanTech, Enterprise Software,,,,,,,","Measuring air, everywhere. We are pioneering an entirely new way to diagnose the health of our air and track climate-changing pollution.","Nov 19, 2020",Series B,"$40,000,000","Kapor Capital, Splunk, Social Capital,,",$1M to $10M,"Women Founded, Women Led","San Francisco Bay Area, West Coast,"
Clyde,—,51-100,Clyde is a product lifecycle platform that aims to assist businesses to increase profits and provide their clients with high-quality services.,"New York, New York, United States",Sep 2017,"E-Commerce, Finance, Insurance,,",Clyde is a product lifecycle platform that aims to assist businesses to increase profits.,"Oct 19, 2021",Series B,"$25,000,000","Techstars, Spark Capital, Correlation Ventures,,",—,—,"Greater New York Area, East Coast,"
Dialpad,Yes,501-1000,"Dialpad is an AI-powered cloud communications platform that turns conversations into opportunities and helps teams make smart calls. The communications and contact center provider offers native, real-time transcription, automated note-taking, live sentiment, and voice analytics to market, and with the rising demand for remote collaboration. It offers Dialpad, Dialpad Sell, UberConference, and Dialpad Contact Center solutions that are all powered by VoiceAI. These products cover the full range of modern business communications needs with a range of system software that offers voice, video, group messaging, SMS, MMS, conferencing, screen sharing, and document sharing services that enable employees to collaborate securely from anywhere across any device, in a single platform. Aside from OMERS, investors of the company include Amasia, Andreessen Horowitz, Felicis Ventures, GV, ICONIQ Capital, Salesforce Ventures, Scale Ventures, Section 32, Softbank, Work-Bench, and SoftBank. Alex Cornell, Brian Peterson, Craig Walker, and John Rector incorporated Dialpad in San Francisco, California in 2011.","San Francisco, California, United States",Apr 2011,"Analytics, Artificial Intelligence,,,,,,,,",Dialpad is an AI-powered cloud communications platform that turns conversations into opportunities and helps teams make smart calls.,"Dec 22, 2022",Venture - Series Unknown,"$50,000,000","SoftBank, Andreessen Horowitz,,,",—,—,"San Francisco Bay Area, West Coast,"
AbbVie,—,10001+,"AbbVie develops pharmaceuticals and medical devices. They provide products and services to therapeutic areas including immunology, oncology, neuroscience, eye care, virology, women's health, and gastroenterology.","North Chicago, Illinois, United States",2013,"Biotechnology, Health Care, Medical,","AbbVie is a pharmaceutical company that discovers, develops, and markets in biopharmaceuticals and molecule drugs.","Mar 8, 2023",Post-IPO Equity,"$249,999",—,$10B+,—,"Greater Chicago Area, Great Lakes,"
DJI,—,10001+,"DJI develops and manufactures innovative drone and camera technology for commercial and recreational use. Their platforms empower them to capture images that were once out of reach. Their flying and camera stabilization systems redefine camera placement and motion. Headquartered in Shenzhen, widely considered China’s Silicon Valley, DJI benefits from direct access to the suppliers, raw materials, and young, creative talent pool necessary for sustained success. Drawing on these resources, they have grown from a single small office in 2006 to a global workforce. Their offices can now be found in the United States, Germany, the Netherlands, Japan, South Korea, Beijing, Shanghai, and Hong Kong. As a privately owned and operated company, DJI focuses on their own vision, supporting creative, commercial, and nonprofit applications of their technology.","Shenzhen, Guangdong, China","Nov 6, 2006","Aerospace, Consumer Electronics,,,,",DJI develops and manufactures innovative drone and camera technology for commercial and recreational use.,"May 6, 2015",Private Equity,"$75,000,000","Accel, Sequoia Capital China, Lighthouse Capital Management",$10M to $50M,—,Asia-Pacific (APAC)
Neste,—,1001-5000,"Neste creates sustainable aviation fuel, renewable diesel, and renewable feedstock solutions for the polymers and chemicals industries. Its global range of products and services allows customers to lower their carbon footprint by combining high-quality renewable products and oil products with tailor-made service solutions. We are the world's largest producer of renewable diesel refined from waste and residues, and we are also bringing renewable solutions to the aviation and plastics industries. We want to be a reliable partner, whose expertise, R&D, and sustainable practices are widely respected. In 2015, Neste's net sales stood at EUR 11 billion, and we were on the Global 100 list of the 100 most sustainable companies in the world.","Espoo, Southern Finland, Finland","Jan 9, 1948","Industrial, Oil and Gas, Sustainability",Neste is a sustainable energy company focused on renewable diesel and aviation fuel.,"Mar 9, 2023",Post-IPO Debt,"€1,000,000,000",—,$1B to $10B,—,"European Union (EU), Nordic Countries,"
Blueground,Yes,501-1000,"Blueground is a proptech company that is reinventing the way people live by making apartments available where they want, when they want, and on the terms they want. They offer fully-furnished homes with on-the-ground support for business travel needs.","New York, New York, United States","Apr 1, 2013","Hospitality, Property Management,",Blueground provides furnished apartments.,"Nov 28, 2022",Venture - Series Unknown,—,"Silicon Valley Bank, VentureFriends,,,",$1M to $10M,—,"Greater New York Area, East Coast,"
Rakuten,—,5001-10000,"Rakuten is a tech company that offers electronic commerce solutions in Japan and internationally. The company operates in three segments such as internet services, finance services, and others. The internet services segment comprises businesses running various e-commerce sites, including Rakuten Ichiba, an internet shopping mall; travel booking sites; portal sites; and e-book businesses as well as businesses for advertising and sale of contents and similar on these sites. Its offerings include e-reading, online travel reservations, online auctions, online marketing, online golf course reservations, portal sites, search engines, integrated internet marketing, online recipe posting and browsing, student recruiting community, online purchase of discount coupons, online shopping, and video on demand services. It is involved in the online sale of books, CDs, and DVDs. The internet finance segment is engaged in providing services related to banking and securities, credit cards, life insurance, and electronic money. This segment provides credit card payment, internet banking, online brokerage, online comprehensive insurance, and face-to-face and online life insurance services as well as credit card transactions on smartphones and tablets. The other segments are involved in the provision of communications services such as next-generation LTE-compatible mobile data communication, telecommunications, internet connection and corporate mobile phone services, and management of a professional baseball team. The company was formerly known as MDM, Inc. and changed its name to Rakuten, Inc. in June 1999. Rakuten, Inc. was founded in 1997 and is headquartered in Tokyo, Japan.","Tokyo, Tokyo, Japan","Feb 7, 1997","E-Commerce, Electronics, FinTech,,","Rakuten is a provider of e-commerce, fintech, digital content, and communications products and services.","Jan 27, 2023",Post-IPO Debt,"¥250,000,000,000","Tencent, Walmart, Intel Capital,,",$1B to $10B,—,Asia-Pacific (APAC)
DeHaat,—,1001-5000,"DeHaat is a technology-led platform that offers end-to-end agriculture services to Indian farmers with an aim to improve the efficiencies of the agriculture value chain. DeHaat connects small farmers to their various needs – Seeds, fertilizers, equipment, crop advisory, and market linkage through a wide network of trained micro-entrepreneurs. Registered farmers get access to a wide range of agricultural inputs (Seed, Fertilizer, and Crop protection) directly from competitive sources. Subsequently, they get customized crop reminder calls in the local language as well as crop monitoring support from the same DeHaat micro-entrepreneur. Lastly, they sell the farm produce directly to institutional buyers. Farmers place their various demands related to Agri input, field visits or Agri output either through the toll-free number or mobile application and get last-mile services through assigned micro-entrepreneur.","Patna City, Bihar, India","Feb 6, 2012","Agriculture, AgTech, Farming,",DeHaat is an AgriTech startup that offers technology solutions to improve supply chain and production efficiency in farming.,"Oct 21, 2022",Series E,"$60,000,000","Temasek Holdings, FMO, AgFunder,,",—,—,Asia-Pacific (APAC)
IntegrityNext,—,1-10,"IntegrityNext enables companies to monitor 100% of their suppliers for sustainability and compliance in order to meet the regulatory requirements and reduce risk. The IntegrityNext platform automatically obtains the required supplier self-assessments and certificates while monitoring social media for malpractice and reputational risks. The company's cloud-based platform reduces compliance risk through automated self-assessments, social media monitoring, and risk alerts, as well as a pre-built supplier questionnaire, assessment framework, and real-time dashboard, allowing small and medium-sized businesses to convert compliance data requirements from international regulators into processes and systems. IntegrityNext was established on April 10, 2016 in Munich, Bayern by Martin Berr-Sorokin.","Munich, Bayern, Germany","Apr 10, 2016","Consulting, Information Services,","IntegrityNext enables companies to monitor the environmental, social, and corporate governance of suppliers to meet legal requirements.","Mar 23, 2023",Venture - Series Unknown,"€100,000,000",EQT Growth,—,—,European Union (EU)
Switch Therapeutics,—,11-50,"Switch Therapeutics is a biotech company that develops RNAi therapies based on technology. The company was founded in 2020 and is based in San Francisco, California, United States.","San Francisco, California, United States",2020,"Biotechnology, Medical, Therapeutics",Switch Therapeutics is a biotech company that develops RNAi therapies.,"Mar 14, 2023",Series A,"$52,000,000","Global Brain Corporation, Insight Partners,,,",—,—,"San Francisco Bay Area, West Coast,"
Arcadia,—,501-1000,"Arcadia is a climate crisis-fighting technology company founded in 2014 and born out of a simple idea—everyone deserves access to clean energy. Arcadia breaks the fossil fuel monopoly by creating unprecedented access to energy data and renewable energy sources through its technology platform, Arc, and its community solar program. Arc fuels the renewable energy revolution by democratizing access to energy data from 125 utilities nationwide, covering more than 80% of US electric utility accounts. Arcadia also manages the nation’s leading community solar program, helping to tackle energy injustice while spurring economic growth with more than five Terawatt-hours of residential and commercial energy demand.","Washington, District of Columbia,",2014,"Clean Energy, CleanTech, Database,,",Arcadia is a climate software and data company that specializes in decarbonizing the electric grid.,"Dec 16, 2022",Venture - Series Unknown,"$125,000,000","Alumni Ventures, Tiger Global Management,,,",$10M to $50M,—,"Washington DC Metro Area, Southern US"
SEON,—,101-250,"SEON is a fraud prevention startup developing a fraud detection software to detect fraud in real-time through transactional data analysis. Its software uses machine learning and human intelligence algorithms to collect information about transactions and customers associated, integrates with a device fingerprinting module, and combines email verification and IP address analysis features to detect and report transactional and behavioral fraud patterns. It also allows businesses to detect and eliminate fraudulent activities and maintain data security. Founded in 2017, the company is based in Budapest, Hungary with commercial headquarters in London, UK.","Budapest, Budapest, Hungary",Jun 2017,"Fraud Detection, Identity Management,,",SEON is an online fraud prevention platform that detects and stops fraud in real-time through transactional data analysis.,"Apr 19, 2022",Series B,"$94,000,000","Creandum, IVP, PortfoLion Capital Partners,,",$1M to $10M,—,European Union (EU)
Copper,—,101-250,"Copper is the only crm made for G Suite, works instantly and has an intuitive user experience. Designed for the teams who close deals, Copper is helping people focus on what’s important: authentic relationships.","San Francisco, California, United States",2011,"Apps, CRM, Enterprise Software,,,",Copper offers customer relationship management solutions for companies that use Google applications.,"May 22, 2019",Series C,"$15,000,000","Google Ventures, Norwest Venture Partners,,,",$1M to $10M,—,"San Francisco Bay Area, West Coast,"
Grail,—,501-1000,"Grail develops a pan-cancer screening test designed to detect cancers at an early stage. Its pan-cancer screening test measures circulating nucleic acids in blood using high-intensity sequencing, population-scale clinical trials, enabling doctors to develop blood tests for early-stage cancer detection. The company was founded in 2016 by Alex Aravanis and Jeff Huber in Menlo Park, California.","Menlo Park, California, United States",2016,"Biotechnology, Health Care, Health Diagnostics,,",Grail develops a pan-cancer screening test designed to detect cancers at an early stage.,"May 6, 2020",Series D,"$390,000,000","ARCH Venture Partners, Google Ventures,,,",$100M to $500M,—,"San Francisco Bay Area, Silicon Valley,"
Aura,—,501-1000,"Aura is an information technology company dedicated to creating a safer internet for everyone. They are doing more online than ever but as our lives get more connected it's hard to know what’s safe. At Aura, they believe people should be able to live their digital lives with peace of mind. Their mission is to create a safer internet by making comprehensive digital security simple to understand and easy to use, so everyone can stay safe online.","Boston, Massachusetts, United States",2019,"Cyber Security, Information Technology,,",Aura is a unified digital threat protection platform that makes security simple for everyone.,"Oct 19, 2021",Series F,"$200,000,000","General Catalyst, Warburg Pincus,,,",—,—,"Greater Boston Area, East Coast,"
Butlr,—,11-50,"Butlr is an AIoT and real-time behavior analytics platform helping companies create a better workplace and optimize their operations. Butlr is a private-by-design people-sensing platform using body heat to detect occupancy, headcount, body posture, and activity, and generate accurate, real-time, and historical spatial insights. Butlr is a spin-off from the MIT Media Lab. The primary two use cases of Butlr sensors are the early diagnosis of elderly frailty and fall detection in the senior care industry and space management for commercial real estate. Butlr and its co-founders are recognized on Forbes 30 under 30 2022 List.","Burlingame, California, United States","Sep 10, 2019","Analytics, Artificial Intelligence,,,,,",Butlr is an AIoT and real-time behavior analytics platform helping companies create a better workplace and optimize their operations.,"Mar 22, 2023",Venture - Series Unknown,"$5,000,000","500 Global, Founder Collective,,,",$1M to $10M,Women Founded,"San Francisco Bay Area, West Coast,"
CIBC,—,10001+,"CIBC is a commercial banking firm that provides financial solutions for businesses. Their services include bank accounts, credit cards, mortgages, lending, investments, and insurance. Their protection service covers approved credit limits.","Toronto, Ontario, Canada",1867,"Banking, Credit Cards, Financial Services",CIBC is a financial service company that offers business solutions.,"Jun 8, 2022",Post-IPO Debt,"$800,000,000",—,$10B+,—,Great Lakes
Grubhub,—,1001-5000,"Grubhubis a online and mobile food-ordering and delivery marketplace with the largest and most comprehensive network of restaurant partners, as well as nearly 24 million active diners. Dedicated to connecting diners with the food they love from their favourite local restaurants, Grubhub elevates food ordering through innovative restaurant technology, easy-to-use platforms and an improved delivery experience. Grubhub features nearly 300,000 restaurants and is proud to partner with more than 200,000 of these restaurants in over 4,000 U.S. cities. The Grubhub portfolio of brands includes Grubhub, Seamless, LevelUp, AllMenus and MenuPages.","San Francisco, California, United States",2004,"E-Commerce, Food and Beverage,,",Grubhub is a online and mobile food ordering and delivery marketplace dedicated to connecting diners with local restaurants.,"Jul 6, 2022",Post-IPO Equity,—,"Amazon, T. Rowe Price, Lightspeed Venture Partners,,",$100M to $500M,—,"San Francisco Bay Area, West Coast,"
Confluera,Yes,11-50,"Confluera is a cybersecurity startup helping organizations find sophisticated security attacks going on inside of corporate infrastructures. The startup delivers autonomous infrastructure-wide cyber kill chain tracking and response by leveraging the ‘Continuous Attack Graph’ to deterministically stop and remediate cyber threats in real-time. They built to deterministically detect and stop attackers from navigating infrastructure. Confluera technology combines machine comprehended threat detection with accurately tracked activity trails to stop cyberattacks in real-time, allowing companies to radically simplify security operations. It frees up human security personnel to focus on more important work, instead of spending hours trying to join the dots between the thousands of alerts they receive daily many of which are false positives.","Palo Alto, California, United States","Jun 18, 2018","Cyber Security, Information Technology,,,",Confluera provides security platform featuring a broad range of autonomous capabilities that deterministically track ongoing cyber threats.,"May 19, 2020",Series A,"$20,000,000","Lightspeed Venture Partners, Icon Ventures,,,",$1M to $10M,—,"San Francisco Bay Area, Silicon Valley,"
Celestia,—,1-10,"Celestia is a pluggable consensus and data availability layer, to enable anyone to quickly deploy a decentralized blockchain without the overhead of bootstrapping a new consensus network. The company was founded in 2019 and is based in Vaduz, Liechtenstein.","Vaduz, Vaduz, Liechtenstein",2019,"Blockchain, Cryptocurrency, Legal Tech,",Celestia is a blockchain ledger company that enables anyone to easily deploy their own blockchain with minimal overhead.,"Oct 19, 2022",Series A,"$55,000,000","Protocol Labs, Figment, Polychain,,",Less than $1M,—,—
Live Nation Entertainment,—,10001+,"Live Nation Entertainment Inc, the world’s live entertainment company, combines several entertainment brands, including Ticketmaster.com, Live Nation Concerts, the Live Nation and Live Nation Productions. Live Nation began as SFX Entertainment, a part of SFX Broadcasting, and then became a division of Clear Channel Communications. It became its own entity in 2005 with Michael Rapino as President and CEO. Since then, Live Nation has provided live entertainment services to fans in over 40 countries around the world through promotion and hundreds of entertainment venues. Live Nation partnered with Ticketmaster, the global leader in live event ticketing, in 2010 to form Live Nation Entertainment. This relationship has allowed both companies to expand their reach to help more fans experience the power of live each year. Live Nation Concerts produces over 35,000 live music events annually in conjunction with Live Nation Entertainment’s 4,000+ touring artists. Live Nation fully acquired Front Line Management Group in 2011, giving the company access to the artists it represents, now numbering over 500, including top acts such as Chicago, Alan Jackson and Jimmy Buffett. Each of these businesses supports the Live Nation Network, the leading provider of entertainment marketing solutions. Live Nation Network connects more than 1000 advertisers to its network of consumers through Live Nation live event and digital platforms. Live Nation Entertainment has recently focused investments on profitable music festivals and initiatives associated with them. Some of the festivals Live Nation Entertainment has a controlling stake in include Lollapalooza and Bonnaroo. They also have a partnership with Insomniac who runs the Electric Daisy Carnival. Part of these investments include upgrading facilities at the festivals, including adding permanent bathrooms and running water. Live Nation Entertainment has an international presence, which has allowed them to acquire businesses around the world including the House of Blues (2006), a United States concert promoter; Union Events in Canada (2016) and Mainland Music (2018), based in Switzerland. It has also gained majority interest in AC Entertainment (2016), the Sweden Rock Festival (2016), Australia’s Secret Sounds Group (2016) and DF Entertainment (2018).","Beverly Hills, California, United States",1996,"Concerts, Event Promotion, Events,,","Live Nation Entertainment is a producer, promoter, and seller of live concert tickets for artists and fans.","Jan 9, 2023",Post-IPO Debt,"$900,000,000",Saudi Arabia's Public Investment Fund,$1B to $10B,—,"Greater Los Angeles Area, West Coast,"
Etsy,Yes,1001-5000,"is an e-commerce site and a smartphone application for buying and selling handmade and vintage items. Users can find products in the categories of clothing and accessories, jewelry, craft supplies and tools, weddings, entertainment, home and living, kids and babies, vintage, and more. was launched by Robert Kalin, Haim Schoppik, Jared Tarbell, and Chris Maguire in June 2005 and is based in Brooklyn, New York.","Brooklyn, New York, United States","Jun 18, 2005","E-Commerce, Internet, Retail, Sales",Etsy is an e-commerce site and a smartphone application for buying and selling handmade and vintage items.,"May 15, 2017",Post-IPO Equity,—,"TPG, Accel, Breyer Capital, Union Square Ventures,",$100M to $500M,—,"Greater New York Area, East Coast,"
Span.IO,—,51-100,"Span.IO develops products to enable the rapid adoption of renewable energy and deliver an intuitive interface for the home. They are a group of engineers with a passion for building products that can deliver a positive impact on the environment while enhancing the consumer experience. They believe that developing intelligent hardware and software that provides visibility and control at the edge-of-grid will be transformational to the energy sector. The company is backed by domain experts in energy, software, hardware, and consumer finance. They leverage their teams' collective experience in power generation, energy conversion, controls, and system integration to develop core products focused on enabling the rapid adoption of renewable energy. SpanIO is based in San Francisco in 2018.","San Francisco, California, United States","Jun 12, 2018","Energy, Hardware, Internet of Things,,",Span.IO develops residential energy storage devices that provide renewable electricity and charging services for electric vehicles.,"Mar 3, 2023",Venture - Series Unknown,"$83,952,933","Ulu Ventures, Elemental Excelerator,,,",$1M to $10M,"South Asian Founded, South Asian Led","San Francisco Bay Area, West Coast,"
SEMrush,Yes,501-1000,"SEMrush is online visibility management and content marketing SaaS platform that ensures businesses get measurable results from online marketing. Trusted by more than 5,000,000 marketing professionals, SEMrush offers insights and solutions for companies in any industry to build, manage, and measure campaigns across all marketing channels. With 40+ tools for search, content, social media and market research in the platform, data for more than 140 countries, seamless integration with Google and task management platforms, SEMrush is now a must-have solution for all companies who are serious about online.","Boston, Massachusetts, United States",Aug 2008,"Advertising, Analytics, Content Marketing,,,,,,,",SEMrush is a an online visibility management and content marketing SaaS platform.,"Apr 24, 2018",Venture - Series Unknown,"$40,000,000","Headline, Greycroft, Siguler Guff & Company",$100M to $500M,—,"Greater Boston Area, East Coast,"
GoDaddy,—,5001-10000,"Go Daddy is the Web's top platform for small businesses and offers everything needed to to grow and manage an online presence, from domain names and website builders to complete eCommerce solutions. The company has earned a place as the world's #1 ICANN-accredited domain registrar by delivering world-class products at competitive prices and supporting them with industry-best service, delivered 24/7/365. Go Daddy is the world's largest domain name registrar and Web hosting provider * More than 55 million domain names under management Go Daddy registers, renews or transfers more than one domain name every second of every day Go Daddy is larger than the next 8 closest registrar competitors combined Go Daddy is the largest hosting provider of secure websites in the world More than 12 million customers Go Daddy is the world's largest provider of net-new SSL certificates Go Daddy has more than 40 product offerings Founded in 1997 by Bob Parsons as Jomax Technologies the Go Daddy group of companies includes three ICANN-accredited domain name registrars: flagship registrar GoDaddy.com, LLC, membership-based Blue Razor Domains, LLC, and reseller Wild West Domains, LLC Private domain name registration services through Domains By Proxy, LLC","Scottsdale, Arizona, United States",1997,"Domain Registrar, Online Portals,,",GoDaddy is an internet domain registrar and web hosting company facilitating online businesses.,"Dec 27, 2021",Post-IPO Equity,"$800,000,000","Silver Lake, Starboard Value, Kohlberg Kravis Roberts,",$1B to $10B,—,"Greater Phoenix Area, Western US"
PrizePicks,—,101-250,"PrizePicks is the largest independently owned Daily Fantasy Sports (DFS) platform in North America. Centered around real-money over/under predictions, PrizePicks allows sports fans to play against the numbers rather than each other, and it is the simplest variety of daily fantasy sports with the widest breadth of sports coverage of any DFS operator. Boasting partnerships to date with the Atlanta Braves and Miami Marlins, among others, PrizePicks is currently the closest legal alternative to legal mobile sports betting in the majority of the United States including Top 10 markets like California, Texas, Florida, and Georgia. With an existing digital footprint covering more than 60 percent of the U.S. population, PrizePicks is the most accessible type of game for the masses. The company is headquartered in Atlanta, and PrizePicks is the third product from Performance Predictions, a suite of fan engagement solutions including SidePrize, the 2016 Fantasy Sports and Gaming Association's ""Rookie of the Year"" award recipient. PrizePicks is available in the App Store and Google Play or at prizepicks.com.","Atlanta, Georgia, United States",2015,"Fantasy Sports, Gaming, Sports",PrizePicks is a Daily Fantasy Sports (DFS) platform that covers sports betting in a wide variety of leagues.,"Mar 23, 2023",Corporate Round,—,"Atlanta United, Phoenix Capital Ventures (PCV),,,",—,—,"Greater Atlanta Area, East Coast,"
